Categoria: Todas as categorias

Semana,sintomas dengue: (Ceará),dengue: (Ceará),tratamento dengue: (Ceará)
2019-04-21,3,21,0
2019-04-28,8,23,0
2019-05-05,4,23,0
2019-05-12,4,19,0
2019-05-19,4,18,0
2019-05-26,4,16,0
2019-06-02,3,16,0
2019-06-09,3,14,0
2019-06-16,0,14,0
2019-06-23,2,10,0
2019-06-30,3,12,0
2019-07-07,0,7,0
2019-07-14,3,8,0
2019-07-21,2,11,0
2019-07-28,2,8,0
2019-08-04,0,8,0
2019-08-11,2,6,0
2019-08-18,0,10,0
2019-08-25,0,9,0
2019-09-01,0,7,0
2019-09-08,0,7,0
2019-09-15,2,10,0
2019-09-22,0,6,0
2019-09-29,0,5,0
2019-10-06,0,9,0
2019-10-13,0,5,0
2019-10-20,0,6,0
2019-10-27,0,4,0
2019-11-03,0,7,0
2019-11-10,0,6,0
2019-11-17,0,7,0
2019-11-24,0,5,0
2019-12-01,0,6,0
2019-12-08,0,4,0
2019-12-15,0,3,0
2019-12-22,0,0,0
2019-12-29,3,4,0
2020-01-05,2,7,0
2020-01-12,0,9,0
2020-01-19,0,8,0
2020-01-26,0,8,0
2020-02-02,3,16,0
2020-02-09,4,22,0
2020-02-16,5,23,0
2020-02-23,8,28,2
2020-03-01,8,32,0
2020-03-08,7,39,0
2020-03-15,8,37,0
2020-03-22,7,32,0
2020-03-29,7,29,0
2020-04-05,8,28,0
2020-04-12,8,33,0
2020-04-19,10,37,0
2020-04-26,15,41,2
2020-05-03,19,48,0
2020-05-10,12,37,0
2020-05-17,7,33,0
2020-05-24,6,29,0
2020-05-31,7,24,0
2020-06-07,5,18,0
2020-06-14,5,19,0
2020-06-21,6,21,0
2020-06-28,6,21,0
2020-07-05,3,16,0
2020-07-12,3,13,0
2020-07-19,3,16,0
2020-07-26,2,10,0
2020-08-02,2,10,0
2020-08-09,2,11,0
2020-08-16,2,9,0
2020-08-23,3,9,0
2020-08-30,3,7,0
2020-09-06,0,8,0
2020-09-13,0,6,0
2020-09-20,0,8,0
2020-09-27,2,7,0
2020-10-04,0,7,0
2020-10-11,0,4,0
2020-10-18,0,6,0
2020-10-25,0,5,0
2020-11-01,0,5,0
