Categoria: Todas as categorias

Semana,sintomas dengue: (Espírito Santo),dengue: (Espírito Santo),tratamento dengue: (Espírito Santo)
2019-04-21,5,21,0
2019-04-28,7,22,0
2019-05-05,6,24,0
2019-05-12,7,22,0
2019-05-19,6,23,0
2019-05-26,7,33,0
2019-06-02,9,31,0
2019-06-09,7,28,0
2019-06-16,8,25,0
2019-06-23,6,25,0
2019-06-30,6,23,0
2019-07-07,4,15,0
2019-07-14,4,12,0
2019-07-21,4,12,0
2019-07-28,4,12,0
2019-08-04,2,6,0
2019-08-11,3,8,0
2019-08-18,3,7,0
2019-08-25,2,6,0
2019-09-01,0,6,0
2019-09-08,0,5,0
2019-09-15,2,7,0
2019-09-22,0,5,0
2019-09-29,0,6,0
2019-10-06,0,5,0
2019-10-13,2,4,0
2019-10-20,2,4,0
2019-10-27,0,3,0
2019-11-03,2,5,0
2019-11-10,0,6,0
2019-11-17,0,5,0
2019-11-24,2,5,0
2019-12-01,0,4,0
2019-12-08,0,5,0
2019-12-15,0,5,2
2019-12-22,5,8,0
2019-12-29,2,9,0
2020-01-05,2,8,0
2020-01-12,3,11,0
2020-01-19,2,9,0
2020-01-26,3,11,0
2020-02-02,3,12,0
2020-02-09,4,14,0
2020-02-16,6,17,0
2020-02-23,5,19,0
2020-03-01,5,20,0
2020-03-08,5,22,0
2020-03-15,6,25,0
2020-03-22,4,20,0
2020-03-29,6,23,0
2020-04-05,4,16,0
2020-04-12,4,21,0
2020-04-19,4,16,0
2020-04-26,5,16,0
2020-05-03,3,17,0
2020-05-10,5,13,0
2020-05-17,3,12,0
2020-05-24,3,10,0
2020-05-31,3,9,0
2020-06-07,3,10,0
2020-06-14,0,7,0
2020-06-21,2,5,0
2020-06-28,2,7,0
2020-07-05,0,7,0
2020-07-12,0,5,0
2020-07-19,0,4,0
2020-07-26,0,3,0
2020-08-02,0,5,0
2020-08-09,0,4,0
2020-08-16,0,5,0
2020-08-23,0,3,0
2020-08-30,0,3,0
2020-09-06,0,3,0
2020-09-13,0,4,0
2020-09-20,0,3,0
2020-09-27,0,5,0
2020-10-04,0,4,0
2020-10-11,0,2,0
2020-10-18,0,4,0
2020-10-25,0,4,0
2020-11-01,0,2,0
2020-11-08,2,5,0
2020-11-15,2,4,0
2020-11-22,0,4,0
2020-11-29,1,5,0
2020-12-06,0,5,0
2020-12-13,0,5,0
2020-12-20,2,3,0
2020-12-27,0,4,0
2021-01-03,0,4,0
2021-01-10,0,3,0
2021-01-17,3,4,0
2021-01-24,0,3,0
2021-01-31,0,3,0
2021-02-07,0,3,0
2021-02-14,0,2,0
2021-02-21,0,4,0
2021-02-28,0,5,0
2021-03-07,0,4,0
2021-03-14,1,6,0
2021-03-21,2,6,0
2021-03-28,0,5,0
2021-04-04,0,6,0
2021-04-11,0,5,2
2021-04-18,1,5,0
2021-04-25,0,4,0
2021-05-02,0,5,0
2021-05-09,0,5,0
2021-05-16,0,5,0
2021-05-23,0,6,0
2021-05-30,0,4,0
2021-06-06,0,4,0
2021-06-13,0,4,0
2021-06-20,2,4,0
2021-06-27,0,5,0
2021-07-04,0,3,0
2021-07-11,2,2,0
2021-07-18,0,3,0
2021-07-25,0,4,0
2021-08-01,0,2,0
2021-08-08,0,2,0
2021-08-15,0,1,0
2021-08-22,0,4,0
2021-08-29,0,2,0
2021-09-05,0,4,0
2021-09-12,0,0,0
2021-09-19,0,3,0
2021-09-26,0,2,0
2021-10-03,0,4,0
2021-10-10,0,2,0
2021-10-17,0,2,0
2021-10-24,0,3,0
2021-10-31,0,2,0
2021-11-07,0,2,0
2021-11-14,0,4,0
2021-11-21,0,5,0
2021-11-28,0,4,0
2021-12-05,0,2,0
2021-12-12,0,2,0
2021-12-19,0,0,0
2021-12-26,0,0,0
2022-01-02,0,4,0
2022-01-09,0,4,0
2022-01-16,0,5,0
2022-01-23,2,4,0
2022-01-30,0,3,0
2022-02-06,0,3,0
2022-02-13,0,3,0
2022-02-20,0,4,0
2022-02-27,1,2,0
2022-03-06,0,2,0
2022-03-13,0,4,0
2022-03-20,0,4,0
2022-03-27,1,6,0
2022-04-03,2,6,0
2022-04-10,2,5,0
2022-04-17,1,6,0
2022-04-24,2,9,0
2022-05-01,3,9,0
2022-05-08,2,9,0
2022-05-15,0,8,0
2022-05-22,0,6,0
2022-05-29,2,8,0
2022-06-05,1,8,0
2022-06-12,2,6,0
2022-06-19,0,7,0
2022-06-26,2,7,0
2022-07-03,2,5,0
2022-07-10,1,5,0
2022-07-17,1,4,0
2022-07-24,2,6,0
2022-07-31,2,4,0
2022-08-07,0,5,0
2022-08-14,0,3,0
2022-08-21,0,3,0
2022-08-28,0,4,0
2022-09-04,0,3,0
2022-09-11,0,3,0
2022-09-18,0,3,0
2022-09-25,0,3,0
2022-10-02,1,3,0
2022-10-09,0,3,0
2022-10-16,0,3,0
2022-10-23,0,4,0
2022-10-30,0,4,0
2022-11-06,0,5,0
2022-11-13,0,5,0
2022-11-20,1,4,0
2022-11-27,2,3,0
2022-12-04,2,5,0
2022-12-11,2,7,0
2022-12-18,3,9,0
2022-12-25,3,10,0
2023-01-01,3,11,0
2023-01-08,4,15,0
2023-01-15,5,19,0
2023-01-22,6,19,0
2023-01-29,7,23,0
2023-02-05,6,25,0
2023-02-12,10,30,0
2023-02-19,12,37,0
2023-02-26,11,39,0
2023-03-05,13,46,0
2023-03-12,18,54,0
2023-03-19,16,53,0
2023-03-26,18,59,0
2023-04-02,15,48,0
2023-04-09,15,45,0
2023-04-16,14,40,0
2023-04-23,13,39,0
2023-04-30,12,34,0
2023-05-07,10,31,0
2023-05-14,10,33,0
2023-05-21,9,28,0
2023-05-28,7,26,0
2023-06-04,7,22,0
2023-06-11,4,22,0
2023-06-18,3,20,0
2023-06-25,5,18,0
2023-07-02,4,18,0
2023-07-09,2,11,0
2023-07-16,3,9,0
2023-07-23,3,9,0
2023-07-30,2,9,0
2023-08-06,2,6,0
2023-08-13,2,8,0
2023-08-20,2,7,0
2023-08-27,1,7,0
2023-09-03,0,6,0
2023-09-10,2,8,0
2023-09-17,2,7,0
2023-09-24,2,7,0
2023-10-01,2,7,0
2023-10-08,2,5,0
2023-10-15,2,6,0
2023-10-22,0,8,0
2023-10-29,0,5,0
2023-11-05,2,8,0
2023-11-12,2,6,0
2023-11-19,2,8,0
2023-11-26,2,7,0
2023-12-03,2,7,0
2023-12-10,3,9,0
2023-12-17,0,7,0
2023-12-24,2,8,0
2023-12-31,2,11,0
2024-01-07,4,14,0
2024-01-14,3,13,0
2024-01-21,5,21,0
2024-01-28,6,31,0
2024-02-04,12,49,0
2024-02-11,19,63,0
2024-02-18,18,89,0
2024-02-25,22,100,0
2024-03-03,21,92,0
2024-03-10,15,88,0
2024-03-17,19,82,0
2024-03-24,11,62,0
2024-03-31,14,65,0
2024-04-07,11,58,<1
2024-04-14,9,48,<1
2024-04-21,8,36,0
