Categoria: Todas as categorias

Semana,sintomas dengue: (Alagoas),dengue: (Alagoas),tratamento dengue: (Alagoas)
2019-04-21,0,22,0
2019-04-28,0,13,0
2019-05-05,7,24,0
2019-05-12,11,42,0
2019-05-19,10,55,0
2019-05-26,10,49,0
2019-06-02,11,44,0
2019-06-09,7,31,0
2019-06-16,9,28,0
2019-06-23,12,41,0
2019-06-30,0,26,0
2019-07-07,9,25,0
2019-07-14,10,36,0
2019-07-21,7,34,0
2019-07-28,7,32,0
2019-08-04,10,30,0
2019-08-11,7,33,0
2019-08-18,0,25,0
2019-08-25,7,25,0
2019-09-01,9,26,0
2019-09-08,8,24,0
2019-09-15,0,18,0
2019-09-22,0,17,0
2019-09-29,0,7,0
2019-10-06,0,10,0
2019-10-13,0,15,0
2019-10-20,0,14,0
2019-10-27,7,11,0
2019-11-03,0,11,0
2019-11-10,0,9,0
2019-11-17,0,8,0
2019-11-24,0,13,0
2019-12-01,0,6,0
2019-12-08,0,7,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,6,0
2020-01-12,0,5,0
2020-01-19,0,0,0
2020-01-26,0,8,0
2020-02-02,0,6,0
2020-02-09,7,8,0
2020-02-16,0,13,0
2020-02-23,0,8,0
2020-03-01,0,7,0
2020-03-08,0,13,0
2020-03-15,0,19,0
2020-03-22,0,15,0
2020-03-29,0,16,0
2020-04-05,0,15,0
2020-04-12,0,16,0
2020-04-19,0,15,0
2020-04-26,7,23,0
2020-05-03,8,20,0
2020-05-10,8,25,0
2020-05-17,6,22,0
2020-05-24,8,24,0
2020-05-31,6,29,0
2020-06-07,0,20,0
2020-06-14,0,15,0
2020-06-21,5,13,0
2020-06-28,0,12,0
2020-07-05,0,17,0
2020-07-12,0,12,0
2020-07-19,0,12,0
2020-07-26,0,10,0
2020-08-02,0,11,0
2020-08-09,0,7,0
2020-08-16,0,9,0
2020-08-23,0,9,0
2020-08-30,0,7,0
2020-09-06,0,6,0
2020-09-13,0,5,0
2020-09-20,0,6,0
2020-09-27,0,0,0
2020-10-04,0,5,0
2020-10-11,0,5,0
2020-10-18,0,6,0
2020-10-25,0,0,0
2020-11-01,0,6,0
2020-11-08,0,0,0
2020-11-15,0,0,0
2020-11-22,0,7,0
2020-11-29,0,0,0
2020-12-06,0,7,0
2020-12-13,0,0,0
2020-12-20,0,5,0
2020-12-27,0,0,0
2021-01-03,0,5,0
2021-01-10,0,4,0
2021-01-17,0,5,0
2021-01-24,0,0,0
2021-01-31,0,0,0
2021-02-07,0,0,0
2021-02-14,0,0,0
2021-02-21,0,0,0
2021-02-28,0,7,0
2021-03-07,0,6,0
2021-03-14,0,6,0
2021-03-21,0,6,0
2021-03-28,0,4,0
2021-04-04,0,6,0
2021-04-11,0,8,0
2021-04-18,0,7,0
2021-04-25,0,8,0
2021-05-02,0,12,0
2021-05-09,0,15,0
2021-05-16,0,13,0
2021-05-23,0,19,0
2021-05-30,0,20,0
2021-06-06,0,19,0
2021-06-13,6,21,0
2021-06-20,0,13,0
2021-06-27,0,12,0
2021-07-04,5,20,0
2021-07-11,4,20,0
2021-07-18,0,22,0
2021-07-25,8,20,0
2021-08-01,5,25,0
2021-08-08,7,21,0
2021-08-15,7,22,0
2021-08-22,0,18,0
2021-08-29,0,24,0
2021-09-05,0,14,0
2021-09-12,0,12,0
2021-09-19,6,18,0
2021-09-26,0,17,0
2021-10-03,6,11,0
2021-10-10,0,9,0
2021-10-17,0,12,0
2021-10-24,0,15,0
2021-10-31,0,9,0
2021-11-07,0,13,0
2021-11-14,0,7,0
2021-11-21,0,11,0
2021-11-28,0,9,0
2021-12-05,0,8,0
2021-12-12,0,9,0
2021-12-19,0,0,0
2021-12-26,0,6,0
2022-01-02,0,13,0
2022-01-09,0,8,0
2022-01-16,0,10,0
2022-01-23,0,5,0
2022-01-30,0,7,0
2022-02-06,0,6,0
2022-02-13,0,9,0
2022-02-20,0,8,0
2022-02-27,0,7,0
2022-03-06,0,8,0
2022-03-13,0,10,0
2022-03-20,3,14,0
2022-03-27,3,16,0
2022-04-03,4,20,0
2022-04-10,7,20,0
2022-04-17,9,29,0
2022-04-24,14,46,0
2022-05-01,14,51,0
2022-05-08,23,90,4
2022-05-15,31,95,0
2022-05-22,31,94,0
2022-05-29,30,96,0
2022-06-05,27,87,4
2022-06-12,28,81,0
2022-06-19,39,100,0
2022-06-26,35,88,0
2022-07-03,29,73,0
2022-07-10,23,66,0
2022-07-17,19,63,0
2022-07-24,13,44,0
2022-07-31,11,34,0
2022-08-07,7,31,0
2022-08-14,12,28,0
2022-08-21,5,20,0
2022-08-28,5,20,0
2022-09-04,5,14,0
2022-09-11,0,15,0
2022-09-18,0,16,0
2022-09-25,0,12,0
2022-10-02,0,8,0
2022-10-09,0,9,0
2022-10-16,0,11,0
2022-10-23,0,11,0
2022-10-30,0,5,0
2022-11-06,0,9,0
2022-11-13,4,8,0
2022-11-20,0,9,0
2022-11-27,5,11,0
2022-12-04,0,6,0
2022-12-11,0,10,0
2022-12-18,0,8,0
2022-12-25,0,6,0
2023-01-01,0,8,0
2023-01-08,0,7,0
2023-01-15,0,9,0
2023-01-22,0,5,0
2023-01-29,0,0,0
2023-02-05,0,6,0
2023-02-12,0,7,0
2023-02-19,0,4,0
2023-02-26,0,13,0
2023-03-05,0,7,0
2023-03-12,0,8,0
2023-03-19,0,15,0
2023-03-26,0,14,0
2023-04-02,0,14,0
2023-04-09,5,14,0
2023-04-16,0,10,0
2023-04-23,5,13,0
2023-04-30,4,14,0
2023-05-07,0,12,0
2023-05-14,0,13,0
2023-05-21,5,13,0
2023-05-28,4,18,0
2023-06-04,0,9,0
2023-06-11,0,13,0
2023-06-18,6,10,0
2023-06-25,0,10,0
2023-07-02,0,18,0
2023-07-09,0,14,0
2023-07-16,0,13,0
2023-07-23,0,11,0
2023-07-30,0,8,0
2023-08-06,0,9,0
