Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2019-03-17,70,20,0
2019-03-24,100,19,0
2019-03-31,84,21,0
2019-04-07,86,22,0
2019-04-14,64,17,0
2019-04-21,60,15,0
2019-04-28,57,18,0
2019-05-05,51,12,0
2019-05-12,48,10,4
2019-05-19,45,12,0
2019-05-26,31,10,0
2019-06-02,26,6,0
2019-06-09,26,6,0
2019-06-16,24,7,0
2019-06-23,21,5,0
2019-06-30,15,5,0
2019-07-07,10,0,0
2019-07-14,8,0,0
2019-07-21,10,0,0
2019-07-28,5,0,0
2019-08-04,5,0,0
2019-08-11,9,0,0
2019-08-18,8,0,0
2019-08-25,7,0,0
2019-09-01,4,0,0
2019-09-08,6,0,0
2019-09-15,7,0,0
2019-09-22,10,0,0
2019-09-29,7,3,0
2019-10-06,5,0,0
2019-10-13,5,0,0
2019-10-20,7,0,0
2019-10-27,6,0,0
2019-11-03,6,0,0
2019-11-10,9,0,0
2019-11-17,9,0,0
2019-11-24,10,0,0
2019-12-01,10,0,0
2019-12-08,12,3,0
2019-12-15,11,2,0
2019-12-22,14,6,0
2019-12-29,17,0,0
2020-01-05,23,5,0
2020-01-12,33,9,0
2020-01-19,49,9,0
2020-01-26,48,12,0
2020-02-02,50,10,0
2020-02-09,61,11,3
2020-02-16,59,15,0
2020-02-23,65,17,0
2020-03-01,67,17,0
2020-03-08,76,17,0
2020-03-15,69,18,0
2020-03-22,61,14,0
2020-03-29,51,11,0
2020-04-05,46,11,0
2020-04-12,36,7,3
2020-04-19,33,7,0
2020-04-26,35,5,0
2020-05-03,23,4,0
2020-05-10,14,6,0
2020-05-17,23,4,0
2020-05-24,16,4,0
2020-05-31,13,3,0
2020-06-07,14,4,0
2020-06-14,13,2,0
2020-06-21,17,3,0
2020-06-28,11,5,0
2020-07-05,14,3,0
2020-07-12,13,3,0
2020-07-19,10,3,0
2020-07-26,14,4,0
2020-08-02,8,2,0
2020-08-09,10,3,0
2020-08-16,8,3,0
2020-08-23,7,2,0
2020-08-30,8,3,0
2020-09-06,8,3,0
2020-09-13,6,0,0
2020-09-20,8,3,0
2020-09-27,4,0,0
2020-10-04,5,0,0
2020-10-11,5,0,0
2020-10-18,5,0,0
2020-10-25,5,0,0
2020-11-01,8,3,0
2020-11-08,6,0,0
2020-11-15,10,3,0
2020-11-22,12,3,0
2020-11-29,8,5,0
2020-12-06,9,3,0
2020-12-13,9,4,0
2020-12-20,12,4,0
2020-12-27,10,4,0
2021-01-03,11,4,3
2021-01-10,11,3,0
2021-01-17,11,3,0
2021-01-24,13,3,0
2021-01-31,19,7,0
2021-02-07,19,9,0
2021-02-14,20,4,0
2021-02-21,15,4,0
2021-02-28,23,8,0
2021-03-07,20,8,0
2021-03-14,22,6,0
2021-03-21,22,7,0
2021-03-28,22,9,0
2021-04-04,22,7,0
2021-04-11,17,4,0
2021-04-18,18,5,0
2021-04-25,19,4,0
2021-05-02,14,3,0
2021-05-09,15,4,0
2021-05-16,14,5,0
2021-05-23,13,3,0
2021-05-30,17,3,0
2021-06-06,8,0,0
2021-06-13,11,0,0
2021-06-20,11,0,0
2021-06-27,5,0,0
2021-07-04,4,0,0
2021-07-11,4,2,0
2021-07-18,5,0,0
2021-07-25,4,0,4
2021-08-01,0,0,0
2021-08-08,6,0,0
2021-08-15,3,0,0
2021-08-22,6,3,0
2021-08-29,6,0,0
2021-09-05,3,0,0
2021-09-12,4,0,0
2021-09-19,5,0,0
2021-09-26,9,0,0
2021-10-03,6,0,0
2021-10-10,0,0,0
2021-10-17,3,0,0
2021-10-24,6,0,0
2021-10-31,7,0,0
2021-11-07,5,0,0
2021-11-14,5,0,0
2021-11-21,5,0,0
2021-11-28,7,0,0
2021-12-05,5,0,0
2021-12-12,7,2,0
2021-12-19,7,0,0
2021-12-26,8,0,0
2022-01-02,6,0,0
2022-01-09,13,5,0
2022-01-16,14,8,3
2022-01-23,11,4,0
2022-01-30,7,0,0
2022-02-06,11,4,0
2022-02-13,9,0,0
2022-02-20,9,0,0
2022-02-27,11,5,0
2022-03-06,9,0,0
2022-03-13,15,3,0
2022-03-20,15,3,0
2022-03-27,17,3,0
2022-04-03,24,5,0
2022-04-10,23,6,0
2022-04-17,33,8,2
2022-04-24,43,11,0
2022-05-01,39,11,2
2022-05-08,44,10,0
2022-05-15,27,6,0
2022-05-22,35,11,0
2022-05-29,25,7,0
2022-06-05,27,6,0
2022-06-12,23,6,0
2022-06-19,20,5,0
2022-06-26,20,7,0
2022-07-03,17,6,0
2022-07-10,16,7,0
2022-07-17,11,6,0
2022-07-24,9,3,0
2022-07-31,12,4,0
2022-08-07,10,4,0
2022-08-14,8,3,0
