Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas),tratamento dengue: (Alagoas)
2019-03-17,11,0,0
2019-03-24,15,0,0
2019-03-31,11,0,0
2019-04-07,14,0,0
2019-04-14,16,0,0
2019-04-21,19,5,0
2019-04-28,13,0,0
2019-05-05,26,8,0
2019-05-12,42,10,0
2019-05-19,58,13,0
2019-05-26,52,9,0
2019-06-02,49,12,0
2019-06-09,32,8,0
2019-06-16,32,8,0
2019-06-23,37,12,0
2019-06-30,26,10,0
2019-07-07,28,7,0
2019-07-14,34,7,0
2019-07-21,35,8,0
2019-07-28,29,5,0
2019-08-04,24,7,0
2019-08-11,31,6,0
2019-08-18,28,6,0
2019-08-25,23,4,0
2019-09-01,31,8,0
2019-09-08,24,8,0
2019-09-15,17,7,0
2019-09-22,13,4,0
2019-09-29,10,0,0
2019-10-06,10,0,0
2019-10-13,11,0,0
2019-10-20,8,0,0
2019-10-27,10,7,0
2019-11-03,11,0,0
2019-11-10,7,0,0
2019-11-17,7,0,0
2019-11-24,10,0,0
2019-12-01,7,0,0
2019-12-08,6,0,0
2019-12-15,0,0,0
2019-12-22,9,0,0
2019-12-29,5,5,0
2020-01-05,7,5,0
2020-01-12,6,0,0
2020-01-19,0,0,0
2020-01-26,7,0,0
2020-02-02,9,0,4
2020-02-09,10,0,0
2020-02-16,13,6,0
2020-02-23,9,0,0
2020-03-01,8,0,0
2020-03-08,12,0,0
2020-03-15,16,0,0
2020-03-22,12,0,0
2020-03-29,13,0,0
2020-04-05,17,4,0
2020-04-12,17,0,0
2020-04-19,16,0,0
2020-04-26,23,7,0
2020-05-03,21,7,0
2020-05-10,25,10,0
2020-05-17,23,5,0
2020-05-24,27,9,0
2020-05-31,29,6,0
2020-06-07,21,4,0
2020-06-14,14,5,0
2020-06-21,14,7,0
2020-06-28,13,0,0
2020-07-05,17,5,0
2020-07-12,9,4,0
2020-07-19,12,0,0
2020-07-26,11,4,0
2020-08-02,11,0,0
2020-08-09,10,0,0
2020-08-16,12,0,0
2020-08-23,9,0,0
2020-08-30,7,0,0
2020-09-06,4,0,0
2020-09-13,7,0,0
2020-09-20,5,0,0
2020-09-27,7,0,0
2020-10-04,5,0,0
2020-10-11,7,0,0
2020-10-18,5,0,0
2020-10-25,4,0,0
2020-11-01,7,5,0
2020-11-08,6,0,0
2020-11-15,0,0,0
2020-11-22,6,3,0
2020-11-29,0,4,4
2020-12-06,6,0,0
2020-12-13,4,0,0
2020-12-20,4,0,0
2020-12-27,4,0,0
2021-01-03,0,0,0
2021-01-10,0,0,0
2021-01-17,5,0,0
2021-01-24,5,0,0
2021-01-31,0,0,0
2021-02-07,4,0,0
2021-02-14,5,0,0
2021-02-21,4,4,0
2021-02-28,7,0,0
2021-03-07,7,0,0
2021-03-14,4,0,0
2021-03-21,7,0,0
2021-03-28,4,0,0
2021-04-04,5,0,0
2021-04-11,9,0,0
2021-04-18,7,0,0
2021-04-25,8,0,0
2021-05-02,9,0,0
2021-05-09,14,0,0
2021-05-16,14,0,0
2021-05-23,21,6,0
2021-05-30,20,5,0
2021-06-06,17,5,0
2021-06-13,20,4,0
2021-06-20,13,0,0
2021-06-27,17,0,0
2021-07-04,22,0,0
2021-07-11,21,5,0
2021-07-18,22,6,0
2021-07-25,21,0,0
2021-08-01,23,4,0
2021-08-08,20,6,0
2021-08-15,24,10,0
2021-08-22,18,0,0
2021-08-29,24,5,0
2021-09-05,13,0,0
2021-09-12,10,6,0
2021-09-19,18,5,0
2021-09-26,16,5,0
2021-10-03,12,0,0
2021-10-10,9,0,0
2021-10-17,12,0,0
2021-10-24,11,4,0
2021-10-31,6,0,0
2021-11-07,12,5,0
2021-11-14,8,0,0
2021-11-21,12,0,0
2021-11-28,7,0,0
2021-12-05,9,0,0
2021-12-12,7,0,0
2021-12-19,9,0,0
2021-12-26,7,0,0
2022-01-02,15,0,0
2022-01-09,13,0,0
2022-01-16,10,0,0
2022-01-23,7,0,0
2022-01-30,10,0,0
2022-02-06,9,0,0
2022-02-13,12,0,0
2022-02-20,10,0,0
2022-02-27,5,0,0
2022-03-06,7,0,0
2022-03-13,9,0,0
2022-03-20,15,3,0
2022-03-27,16,4,0
2022-04-03,23,5,0
2022-04-10,20,6,0
2022-04-17,29,8,0
2022-04-24,46,12,0
2022-05-01,52,14,0
2022-05-08,89,26,0
2022-05-15,95,29,0
2022-05-22,99,31,3
2022-05-29,98,30,0
2022-06-05,91,28,3
2022-06-12,88,29,0
2022-06-19,100,39,0
2022-06-26,92,35,0
2022-07-03,73,29,0
2022-07-10,64,20,0
2022-07-17,61,22,0
2022-07-24,48,16,0
2022-07-31,32,10,0
2022-08-07,31,7,0
2022-08-14,29,11,0
2022-08-21,22,5,0
2022-08-28,20,5,0
2022-09-04,12,0,0
2022-09-11,12,5,0
2022-09-18,15,5,0
2022-09-25,13,0,0
2022-10-02,8,0,0
2022-10-09,9,0,0
2022-10-16,9,0,0
2022-10-23,12,3,0
2022-10-30,8,0,0
2022-11-06,9,0,0
2022-11-13,9,0,0
2022-11-20,9,4,0
2022-11-27,10,3,0
2022-12-04,6,0,0
2022-12-11,10,4,0
2022-12-18,8,0,0
2022-12-25,5,5,0
2023-01-01,9,0,0
2023-01-08,6,0,0
2023-01-15,9,0,0
2023-01-22,3,0,0
2023-01-29,6,0,0
2023-02-05,5,0,0
2023-02-12,7,0,0
2023-02-19,9,3,0
2023-02-26,7,0,0
2023-03-05,7,0,0
2023-03-12,9,0,0
2023-03-19,14,3,0
2023-03-26,16,5,0
2023-04-02,15,5,0
2023-04-09,16,5,0
2023-04-16,11,0,0
2023-04-23,13,4,0
2023-04-30,17,5,0
2023-05-07,12,6,0
2023-05-14,17,0,0
2023-05-21,13,0,0
2023-05-28,17,4,0
2023-06-04,11,0,0
2023-06-11,15,0,0
2023-06-18,11,5,0
2023-06-25,10,0,0
2023-07-02,16,0,0
2023-07-09,15,0,0
2023-07-16,12,3,0
2023-07-23,11,0,0
2023-07-30,10,4,0
2023-08-06,8,0,0
2023-08-13,7,0,0
2023-08-20,6,0,0
2023-08-27,12,0,0
2023-09-03,8,0,0
2023-09-10,10,0,0
2023-09-17,9,0,0
2023-09-24,7,0,0
2023-10-01,7,6,0
2023-10-08,5,0,0
2023-10-15,9,3,0
2023-10-22,6,4,0
2023-10-29,8,0,0
2023-11-05,9,0,0
2023-11-12,8,0,0
2023-11-19,4,0,0
2023-11-26,7,0,0
2023-12-03,9,0,0
2023-12-10,9,0,0
2023-12-17,7,0,0
2023-12-24,5,7,0
2023-12-31,8,0,0
2024-01-07,7,0,0
2024-01-14,7,4,0
2024-01-21,11,0,0
2024-01-28,20,5,0
2024-02-04,25,6,0
2024-02-11,42,14,0
2024-02-18,96,28,0
2024-02-25,89,16,0
2024-03-03,86,19,1
2024-03-10,92,20,2
2024-03-17,88,19,1
