Categoria: Todas as categorias

Semana,dengue: (Tocantins),sintomas dengue: (Tocantins),tratamento dengue: (Tocantins)
2019-03-17,37,0,0
2019-03-24,55,11,0
2019-03-31,38,13,0
2019-04-07,39,6,0
2019-04-14,28,8,0
2019-04-21,27,8,0
2019-04-28,24,0,0
2019-05-05,29,0,0
2019-05-12,27,12,0
2019-05-19,22,6,0
2019-05-26,17,0,0
2019-06-02,13,0,0
2019-06-09,10,0,0
2019-06-16,8,0,0
2019-06-23,8,0,0
2019-06-30,9,0,10
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,0,0,0
2019-08-04,0,0,0
2019-08-11,0,0,0
2019-08-18,0,0,0
2019-08-25,12,0,0
2019-09-01,0,0,0
2019-09-08,0,0,0
2019-09-15,0,0,0
2019-09-22,0,0,0
2019-09-29,0,0,0
2019-10-06,9,0,0
2019-10-13,0,0,0
2019-10-20,0,0,0
2019-10-27,0,0,0
2019-11-03,10,0,0
2019-11-10,8,0,0
2019-11-17,9,0,0
2019-11-24,9,0,0
2019-12-01,11,0,0
2019-12-08,12,0,0
2019-12-15,8,7,0
2019-12-22,11,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,9,0,0
2020-01-19,8,7,0
2020-01-26,9,0,0
2020-02-02,7,0,0
2020-02-09,0,0,0
2020-02-16,14,7,0
2020-02-23,13,0,0
2020-03-01,0,0,0
2020-03-08,15,0,0
2020-03-15,20,0,0
2020-03-22,20,0,0
2020-03-29,8,0,0
2020-04-05,8,0,0
2020-04-12,8,0,0
2020-04-19,12,0,0
2020-04-26,13,0,5
2020-05-03,9,6,0
2020-05-10,9,0,0
2020-05-17,5,0,0
2020-05-24,7,0,0
2020-05-31,0,0,0
2020-06-07,0,0,0
2020-06-14,9,0,0
2020-06-21,0,0,0
2020-06-28,6,0,0
2020-07-05,7,0,0
2020-07-12,7,0,0
2020-07-19,0,0,0
2020-07-26,0,0,0
2020-08-02,7,0,0
2020-08-09,8,0,0
2020-08-16,0,0,0
2020-08-23,5,0,0
2020-08-30,0,0,0
2020-09-06,0,0,0
2020-09-13,0,0,0
2020-09-20,0,0,0
2020-09-27,0,0,0
2020-10-04,11,0,0
2020-10-11,6,0,0
2020-10-18,5,0,0
2020-10-25,0,0,0
2020-11-01,0,0,0
2020-11-08,0,0,0
2020-11-15,0,0,0
2020-11-22,0,0,0
2020-11-29,7,0,0
2020-12-06,0,0,0
2020-12-13,8,0,0
2020-12-20,0,0,0
2020-12-27,0,7,0
2021-01-03,9,0,0
2021-01-10,6,0,0
2021-01-17,8,7,0
2021-01-24,6,0,0
2021-01-31,9,0,0
2021-02-07,0,0,0
2021-02-14,7,0,0
2021-02-21,11,0,0
2021-02-28,8,0,0
2021-03-07,12,0,0
2021-03-14,7,0,0
2021-03-21,13,0,0
2021-03-28,14,0,0
2021-04-04,0,0,0
2021-04-11,5,0,0
2021-04-18,8,0,0
2021-04-25,8,0,0
2021-05-02,8,5,0
2021-05-09,20,0,0
2021-05-16,24,0,0
2021-05-23,28,5,0
2021-05-30,23,6,0
2021-06-06,23,5,0
2021-06-13,19,0,0
2021-06-20,12,0,0
2021-06-27,8,0,0
2021-07-04,6,0,0
2021-07-11,7,0,0
2021-07-18,6,0,0
2021-07-25,0,0,0
2021-08-01,8,6,0
2021-08-08,10,0,0
2021-08-15,7,0,0
2021-08-22,16,0,0
2021-08-29,7,0,0
2021-09-05,14,0,0
2021-09-12,6,0,0
2021-09-19,0,0,0
2021-09-26,10,0,0
2021-10-03,8,0,0
2021-10-10,0,0,0
2021-10-17,10,0,0
2021-10-24,9,0,0
2021-10-31,9,0,0
2021-11-07,6,0,0
2021-11-14,14,0,0
2021-11-21,20,0,0
2021-11-28,33,7,0
2021-12-05,33,11,0
2021-12-12,46,13,0
2021-12-19,60,16,0
2021-12-26,71,24,0
2022-01-02,100,31,0
2022-01-09,78,23,0
2022-01-16,74,25,0
2022-01-23,68,18,0
2022-01-30,50,13,0
2022-02-06,51,15,0
2022-02-13,42,8,0
2022-02-20,30,5,0
2022-02-27,27,6,0
2022-03-06,27,6,0
2022-03-13,45,8,0
2022-03-20,56,10,0
2022-03-27,46,10,0
2022-04-03,43,7,4
2022-04-10,27,8,4
2022-04-17,32,8,0
2022-04-24,36,9,0
2022-05-01,43,9,0
2022-05-08,44,9,0
2022-05-15,36,8,0
2022-05-22,32,8,0
2022-05-29,29,11,0
2022-06-05,30,8,0
2022-06-12,21,8,0
2022-06-19,17,4,0
2022-06-26,12,0,0
2022-07-03,10,5,0
2022-07-10,16,0,0
2022-07-17,12,0,5
2022-07-24,8,0,0
2022-07-31,5,0,0
2022-08-07,9,0,0
2022-08-14,6,0,0
2022-08-21,10,0,0
2022-08-28,6,0,0
2022-09-04,5,0,0
2022-09-11,5,0,0
2022-09-18,7,0,0
2022-09-25,7,0,0
2022-10-02,0,0,0
2022-10-09,4,0,0
2022-10-16,7,0,0
2022-10-23,9,0,0
2022-10-30,8,0,0
2022-11-06,11,0,0
2022-11-13,7,0,0
2022-11-20,14,0,0
2022-11-27,11,0,0
2022-12-04,12,0,0
2022-12-11,10,4,0
2022-12-18,9,0,0
2022-12-25,9,0,0
2023-01-01,18,7,0
2023-01-08,12,0,0
2023-01-15,12,0,0
2023-01-22,17,8,0
2023-01-29,10,0,0
2023-02-05,12,0,0
2023-02-12,15,0,0
2023-02-19,19,0,0
2023-02-26,12,0,0
2023-03-05,22,0,0
2023-03-12,19,5,0
2023-03-19,26,5,0
2023-03-26,30,7,0
2023-04-02,29,4,0
2023-04-09,30,6,0
2023-04-16,25,5,0
2023-04-23,22,5,0
2023-04-30,27,0,0
2023-05-07,25,0,0
2023-05-14,24,0,0
2023-05-21,22,6,0
2023-05-28,17,0,0
2023-06-04,10,0,0
2023-06-11,13,0,0
2023-06-18,10,0,0
2023-06-25,8,0,0
2023-07-02,10,0,0
2023-07-09,6,0,0
2023-07-16,6,0,0
2023-07-23,0,0,0
2023-07-30,0,0,0
2023-08-06,6,0,0
2023-08-13,8,0,0
2023-08-20,6,0,0
2023-08-27,5,0,0
2023-09-03,7,0,0
2023-09-10,7,0,0
2023-09-17,0,0,0
2023-09-24,6,0,0
2023-10-01,4,0,0
2023-10-08,0,0,0
2023-10-15,6,0,0
2023-10-22,5,0,0
2023-10-29,4,0,0
2023-11-05,12,0,0
2023-11-12,7,0,0
2023-11-19,7,0,0
2023-11-26,8,0,0
2023-12-03,6,0,0
2023-12-10,8,0,0
2023-12-17,0,0,0
2023-12-24,0,0,0
2023-12-31,10,0,0
2024-01-07,12,5,0
2024-01-14,9,0,0
2024-01-21,14,0,0
2024-01-28,20,6,0
2024-02-04,38,7,0
2024-02-11,51,0,0
2024-02-18,57,7,6
2024-02-25,60,8,0
2024-03-03,53,7,1
2024-03-10,51,9,1
2024-03-17,45,7,1
