Categoria: Todas as categorias

Semana,dengue: (Acre),sintomas dengue: (Acre),tratamento dengue: (Acre)
2019-03-17,10,0,0
2019-03-24,19,0,0
2019-03-31,0,0,0
2019-04-07,0,0,0
2019-04-14,12,0,0
2019-04-21,0,0,0
2019-04-28,0,0,0
2019-05-05,0,12,0
2019-05-12,0,0,0
2019-05-19,0,0,0
2019-05-26,0,0,0
2019-06-02,0,0,0
2019-06-09,13,10,0
2019-06-16,0,0,0
2019-06-23,0,0,0
2019-06-30,0,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,0,0,0
2019-08-04,0,0,0
2019-08-11,11,0,0
2019-08-18,0,0,0
2019-08-25,0,0,0
2019-09-01,0,0,0
2019-09-08,10,0,0
2019-09-15,10,11,0
2019-09-22,0,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,9,0,0
2019-10-20,11,0,0
2019-10-27,12,0,0
2019-11-03,0,0,0
2019-11-10,14,0,0
2019-11-17,20,0,0
2019-11-24,17,0,0
2019-12-01,16,0,0
2019-12-08,28,0,0
2019-12-15,15,0,0
2019-12-22,22,11,0
2019-12-29,23,0,0
2020-01-05,28,0,0
2020-01-12,17,0,0
2020-01-19,12,0,0
2020-01-26,15,11,0
2020-02-02,11,0,0
2020-02-09,14,0,0
2020-02-16,16,0,0
2020-02-23,0,0,0
2020-03-01,12,0,0
2020-03-08,16,0,0
2020-03-15,19,0,0
2020-03-22,13,0,0
2020-03-29,8,0,0
2020-04-05,0,0,0
2020-04-12,0,0,0
2020-04-19,8,0,0
2020-04-26,10,9,0
2020-05-03,9,0,0
2020-05-10,17,6,0
2020-05-17,8,0,0
2020-05-24,8,0,0
2020-05-31,11,0,0
2020-06-07,13,7,0
2020-06-14,13,0,0
2020-06-21,8,0,0
2020-06-28,7,0,0
2020-07-05,10,0,0
2020-07-12,0,0,0
2020-07-19,14,0,0
2020-07-26,9,9,0
2020-08-02,0,0,0
2020-08-09,8,0,0
2020-08-16,0,0,0
2020-08-23,0,0,0
2020-08-30,0,0,0
2020-09-06,7,0,0
2020-09-13,0,0,0
2020-09-20,11,0,0
2020-09-27,0,0,0
2020-10-04,7,0,0
2020-10-11,0,0,9
2020-10-18,8,0,0
2020-10-25,0,7,0
2020-11-01,0,0,0
2020-11-08,0,0,0
2020-11-15,8,0,0
2020-11-22,13,0,0
2020-11-29,18,0,0
2020-12-06,14,0,0
2020-12-13,15,0,0
2020-12-20,27,9,0
2020-12-27,31,9,0
2021-01-03,43,14,0
2021-01-10,51,20,0
2021-01-17,51,22,0
2021-01-24,57,14,0
2021-01-31,62,17,0
2021-02-07,57,8,0
2021-02-14,68,20,0
2021-02-21,61,19,0
2021-02-28,56,18,0
2021-03-07,44,12,0
2021-03-14,36,14,0
2021-03-21,34,10,0
2021-03-28,32,11,7
2021-04-04,26,0,0
2021-04-11,13,0,0
2021-04-18,13,0,0
2021-04-25,10,0,0
2021-05-02,0,0,0
2021-05-09,9,0,0
2021-05-16,9,0,0
2021-05-23,0,0,0
2021-05-30,0,0,0
2021-06-06,9,0,0
2021-06-13,0,0,0
2021-06-20,10,0,0
2021-06-27,0,0,0
2021-07-04,0,0,0
2021-07-11,0,0,0
2021-07-18,0,0,0
2021-07-25,0,0,0
2021-08-01,0,0,0
2021-08-08,0,0,0
2021-08-15,0,0,0
2021-08-22,0,0,0
2021-08-29,8,0,0
2021-09-05,0,0,0
2021-09-12,8,0,0
2021-09-19,0,0,0
2021-09-26,0,0,0
2021-10-03,0,0,0
2021-10-10,0,0,0
2021-10-17,0,0,0
2021-10-24,7,0,0
2021-10-31,0,0,0
2021-11-07,0,0,0
2021-11-14,0,0,0
2021-11-21,7,0,0
2021-11-28,0,0,0
2021-12-05,0,0,0
2021-12-12,14,0,0
2021-12-19,11,0,0
2021-12-26,0,0,0
2022-01-02,12,0,0
2022-01-09,13,0,0
2022-01-16,16,0,0
2022-01-23,15,0,0
2022-01-30,9,0,0
2022-02-06,0,0,0
2022-02-13,7,0,0
2022-02-20,7,0,0
2022-02-27,8,0,0
2022-03-06,6,0,0
2022-03-13,8,0,0
2022-03-20,9,0,0
2022-03-27,9,0,0
2022-04-03,7,0,0
2022-04-10,10,0,0
2022-04-17,11,5,0
2022-04-24,7,0,0
2022-05-01,8,0,0
2022-05-08,9,0,0
2022-05-15,0,0,0
2022-05-22,9,0,0
2022-05-29,0,0,0
2022-06-05,7,0,0
2022-06-12,0,0,0
2022-06-19,5,0,0
2022-06-26,10,0,0
2022-07-03,0,0,0
2022-07-10,8,0,0
2022-07-17,0,0,0
2022-07-24,8,0,0
2022-07-31,6,0,0
2022-08-07,6,0,0
2022-08-14,0,0,0
2022-08-21,0,0,0
2022-08-28,6,0,0
2022-09-04,0,0,0
2022-09-11,0,0,0
2022-09-18,0,0,0
2022-09-25,0,0,0
2022-10-02,0,0,0
2022-10-09,0,0,0
2022-10-16,0,0,0
2022-10-23,6,0,0
2022-10-30,0,0,0
2022-11-06,0,0,0
2022-11-13,9,0,0
2022-11-20,7,0,0
2022-11-27,0,0,0
2022-12-04,9,0,0
2022-12-11,0,0,0
2022-12-18,7,0,0
2022-12-25,11,0,0
2023-01-01,11,0,0
2023-01-08,8,0,0
2023-01-15,7,0,0
2023-01-22,0,0,0
2023-01-29,8,0,0
2023-02-05,18,0,0
2023-02-12,20,0,0
2023-02-19,9,0,0
2023-02-26,11,5,0
2023-03-05,18,0,0
2023-03-12,15,7,0
2023-03-19,15,0,0
2023-03-26,17,5,0
2023-04-02,18,6,0
2023-04-09,20,7,0
2023-04-16,22,0,0
2023-04-23,21,8,0
2023-04-30,8,5,0
2023-05-07,11,0,0
2023-05-14,18,6,0
2023-05-21,8,0,0
2023-05-28,9,0,0
2023-06-04,6,6,0
2023-06-11,0,0,0
2023-06-18,7,0,0
2023-06-25,6,0,0
2023-07-02,9,0,0
2023-07-09,0,0,0
2023-07-16,5,0,0
2023-07-23,6,0,0
2023-07-30,0,0,0
2023-08-06,5,0,0
2023-08-13,0,0,0
2023-08-20,7,0,0
2023-08-27,0,0,0
2023-09-03,0,0,0
2023-09-10,0,0,0
2023-09-17,0,0,0
2023-09-24,0,0,0
2023-10-01,0,0,0
2023-10-08,0,0,0
2023-10-15,0,0,0
2023-10-22,8,0,0
2023-10-29,6,0,0
2023-11-05,14,0,0
2023-11-12,10,0,0
2023-11-19,18,0,0
2023-11-26,22,8,0
2023-12-03,36,13,0
2023-12-10,82,20,0
2023-12-17,93,21,6
2023-12-24,93,13,0
2023-12-31,91,19,0
2024-01-07,100,16,0
2024-01-14,61,8,0
2024-01-21,36,11,0
2024-01-28,34,0,0
2024-02-04,28,0,0
2024-02-11,32,10,0
2024-02-18,25,0,0
2024-02-25,20,0,0
2024-03-03,27,2,<1
2024-03-10,17,2,<1
2024-03-17,17,3,0
