Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia)
2019-05-19,9,0
2019-05-26,0,0
2019-06-02,8,0
2019-06-09,0,0
2019-06-16,0,0
2019-06-23,12,0
2019-06-30,10,0
2019-07-07,0,0
2019-07-14,0,0
2019-07-21,0,0
2019-07-28,0,0
2019-08-04,0,0
2019-08-11,0,0
2019-08-18,0,0
2019-08-25,0,0
2019-09-01,0,0
2019-09-08,0,0
2019-09-15,0,0
2019-09-22,0,0
2019-09-29,0,0
2019-10-06,9,0
2019-10-13,0,0
2019-10-20,0,0
2019-10-27,10,0
2019-11-03,14,0
2019-11-10,11,0
2019-11-17,0,0
2019-11-24,0,0
2019-12-01,12,0
2019-12-08,0,0
2019-12-15,19,11
2019-12-22,14,0
2019-12-29,9,0
2020-01-05,13,0
2020-01-12,14,0
2020-01-19,13,0
2020-01-26,15,13
2020-02-02,16,0
2020-02-09,27,8
2020-02-16,22,0
2020-02-23,23,7
2020-03-01,25,8
2020-03-08,35,0
2020-03-15,37,7
2020-03-22,36,12
2020-03-29,24,6
2020-04-05,17,0
2020-04-12,18,6
2020-04-19,18,0
2020-04-26,17,0
2020-05-03,25,6
2020-05-10,16,0
2020-05-17,27,0
2020-05-24,23,11
2020-05-31,18,0
2020-06-07,23,0
2020-06-14,18,10
2020-06-21,21,0
2020-06-28,11,0
2020-07-05,18,0
2020-07-12,9,0
2020-07-19,12,0
2020-07-26,11,0
2020-08-02,8,0
2020-08-09,10,0
2020-08-16,7,0
2020-08-23,9,0
2020-08-30,11,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,8,0
2020-09-27,0,0
2020-10-04,12,0
2020-10-11,0,0
2020-10-18,0,0
2020-10-25,7,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,10,0
2020-11-22,12,0
2020-11-29,7,0
2020-12-06,12,0
2020-12-13,9,0
2020-12-20,12,0
2020-12-27,18,0
2021-01-03,15,0
2021-01-10,17,7
2021-01-17,18,0
2021-01-24,24,11
2021-01-31,16,0
2021-02-07,19,0
2021-02-14,14,0
2021-02-21,22,12
2021-02-28,18,0
2021-03-07,30,8
2021-03-14,27,10
2021-03-21,23,0
2021-03-28,21,0
2021-04-04,20,0
2021-04-11,18,0
2021-04-18,13,0
2021-04-25,12,0
2021-05-02,12,0
2021-05-09,10,0
2021-05-16,13,0
2021-05-23,18,0
2021-05-30,9,0
2021-06-06,10,0
2021-06-13,15,0
2021-06-20,9,0
2021-06-27,0,0
2021-07-04,0,0
2021-07-11,0,0
2021-07-18,0,0
2021-07-25,0,0
2021-08-01,0,0
2021-08-08,0,0
2021-08-15,0,0
2021-08-22,0,0
2021-08-29,8,0
2021-09-05,0,0
2021-09-12,0,0
2021-09-19,0,0
2021-09-26,8,0
2021-10-03,0,0
2021-10-10,13,0
2021-10-17,9,0
2021-10-24,0,0
2021-10-31,0,0
2021-11-07,13,0
2021-11-14,0,0
2021-11-21,11,0
2021-11-28,0,0
2021-12-05,0,0
2021-12-12,11,0
2021-12-19,14,0
2021-12-26,11,0
2022-01-02,23,8
2022-01-09,26,12
2022-01-16,24,0
2022-01-23,26,7
2022-01-30,29,8
2022-02-06,27,0
2022-02-13,22,9
2022-02-20,26,5
2022-02-27,29,10
2022-03-06,25,5
2022-03-13,28,0
2022-03-20,39,11
2022-03-27,38,8
2022-04-03,32,8
2022-04-10,37,8
2022-04-17,29,5
2022-04-24,41,10
2022-05-01,31,6
2022-05-08,33,9
2022-05-15,34,10
2022-05-22,31,7
2022-05-29,32,6
2022-06-05,27,5
2022-06-12,29,12
2022-06-19,24,10
2022-06-26,25,6
2022-07-03,20,6
2022-07-10,21,6
2022-07-17,18,9
2022-07-24,15,6
2022-07-31,13,0
2022-08-07,13,0
2022-08-14,12,0
2022-08-21,10,0
2022-08-28,11,0
2022-09-04,6,0
2022-09-11,9,0
2022-09-18,8,0
2022-09-25,9,0
2022-10-02,7,0
2022-10-09,0,0
2022-10-16,10,7
2022-10-23,9,0
2022-10-30,18,0
2022-11-06,13,0
2022-11-13,24,7
2022-11-20,21,6
2022-11-27,32,7
2022-12-04,25,8
2022-12-11,34,7
2022-12-18,38,18
2022-12-25,40,16
2023-01-01,46,13
2023-01-08,47,14
2023-01-15,50,12
2023-01-22,44,15
2023-01-29,43,14
2023-02-05,40,11
2023-02-12,55,11
2023-02-19,43,9
2023-02-26,53,17
2023-03-05,48,14
2023-03-12,54,13
2023-03-19,45,10
2023-03-26,42,14
2023-04-02,38,12
2023-04-09,26,8
2023-04-16,31,0
2023-04-23,23,0
2023-04-30,24,0
2023-05-07,15,6
2023-05-14,18,0
2023-05-21,16,5
2023-05-28,15,5
2023-06-04,14,0
2023-06-11,13,0
2023-06-18,10,0
2023-06-25,10,0
2023-07-02,12,0
2023-07-09,6,0
2023-07-16,0,0
2023-07-23,0,0
2023-07-30,0,0
2023-08-06,6,0
2023-08-13,11,0
2023-08-20,6,0
2023-08-27,8,0
2023-09-03,0,0
2023-09-10,0,0
2023-09-17,10,0
2023-09-24,8,0
2023-10-01,0,0
2023-10-08,7,0
2023-10-15,6,0
2023-10-22,12,0
2023-10-29,0,0
2023-11-05,9,0
2023-11-12,9,0
2023-11-19,7,0
2023-11-26,14,0
2023-12-03,10,0
2023-12-10,10,0
2023-12-17,13,0
2023-12-24,18,0
2023-12-31,24,0
2024-01-07,25,0
2024-01-14,27,9
2024-01-21,31,9
2024-01-28,39,11
2024-02-04,72,21
2024-02-11,86,18
2024-02-18,97,19
2024-02-25,100,19
2024-03-03,85,17
2024-03-10,83,12
2024-03-17,65,11
2024-03-24,59,9
2024-03-31,54,13
2024-04-07,43,8
2024-04-14,44,11
2024-04-21,37,8
2024-04-28,37,7
2024-05-05,24,3
2024-05-12,18,3
2024-05-19,15,3
