"ew_start","sum_of_cases"
2017-12-31,27
2018-01-07,21
2018-01-14,30
2018-01-21,25
2018-01-28,22
2018-02-04,18
2018-02-11,28
2018-02-18,21
2018-02-25,23
2018-03-04,29
2018-03-11,40
2018-03-18,20
2018-03-25,15
2018-04-01,28
2018-04-04,23
2018-04-15,25
2018-04-22,27
2018-04-29,29
2018-05-06,29
2018-05-13,41
2018-05-20,49
2018-05-27,22
2018-06-03,29
2018-06-10,40
2018-06-17,31
2018-06-24,27
2018-07-01,25
2018-07-08,44
2018-07-15,48
2018-07-22,49
2018-07-29,69
2018-08-05,33
2018-08-12,35
2018-08-19,49
2018-08-26,35
2018-09-02,17
2018-09-09,30
2018-09-16,36
2018-09-23,24
2018-09-30,14
2018-10-07,34
2018-10-14,21
2018-10-21,22
2018-10-28,10
2018-11-04,22
2018-11-11,21
2018-11-18,30
2018-11-25,50
2018-12-02,33
2018-12-09,25
2018-12-16,17
2018-12-23,22
2018-12-30,65
2019-01-06,33
2019-01-13,42
2019-01-20,48
2019-01-27,32
2019-02-03,43
2019-02-10,48
2019-02-17,55
2019-02-24,44
2019-03-03,57
2019-03-10,44
2019-03-17,73
2019-03-24,58
2019-03-31,64
2019-04-07,47
2019-04-14,34
2019-04-21,30
2019-04-28,36
2019-05-05,37
2019-05-12,48
2019-05-19,42
2019-05-26,31
2019-06-02,36
2019-06-09,48
2019-06-16,31
2019-06-23,45
2019-06-30,43
2019-07-07,46
2019-07-14,50
2019-07-21,82
2019-07-28,80
2019-08-04,84
2019-08-11,101
2019-08-18,76
2019-08-25,85
2019-09-01,91
2019-09-08,98
2019-09-15,113
2019-09-22,103
2019-09-29,123
2019-10-06,144
2019-10-13,180
2019-10-20,153
2019-10-27,180
2019-11-03,187
2019-11-10,176
2019-11-17,163
2019-11-24,148
2019-12-01,121
2019-12-08,162
2019-12-15,150
2019-12-22,74
2019-12-29,78
2020-01-05,144
2020-01-12,119
2020-01-19,163
2020-01-26,144
2020-02-02,161
2020-02-09,111
2020-02-16,75
2020-02-23,96
2020-03-01,75
2020-03-08,53
2020-03-15,20
2020-03-22,14
2020-03-29,15
2020-04-05,16
2020-04-12,20
2020-04-19,17
2020-04-26,25
2020-05-03,42
2020-05-10,58
2020-05-17,41
2020-05-24,44
2020-05-31,30
2020-06-07,49
2020-06-14,38
2020-06-21,40
2020-06-28,49
2020-07-05,55
2020-07-12,49
2020-07-19,37
2020-07-26,36
2020-08-02,24
2020-08-09,39
2020-08-16,42
2020-08-23,24
2020-08-30,17
2020-09-06,22
2020-09-13,25
2020-09-20,23
2020-09-27,17
2020-10-04,16
2020-10-11,20
2020-10-18,13
2020-10-25,10
2020-11-01,10
2020-11-08,4
2020-11-15,13
2020-11-22,13
2020-11-29,17
2020-12-06,19
2020-12-13,11
2020-12-20,9
2020-12-27,12
2021-01-03,18
2021-01-10,21
2021-01-17,22
2021-01-24,18
2021-01-31,20
2021-02-07,12
2021-02-14,25
2021-02-21,23
2021-02-28,31
2021-03-07,10
2021-03-14,20
2021-03-21,24
2021-03-28,27
2021-04-04,34
2021-04-11,28
2021-04-18,40
2021-04-25,30
2021-05-02,30
2021-05-09,44
2021-05-16,33
2021-05-23,43
2021-05-30,51
2021-06-06,48
2021-06-13,27
2021-06-20,23
2021-06-27,25
2021-07-04,40
2021-07-11,43
2021-07-18,39
2021-07-25,24
2021-08-01,28
2021-08-08,27
2021-08-15,31
2021-08-22,19
2021-08-29,21
2021-09-05,27
2021-09-12,13
2021-09-19,9
2021-09-26,14
2021-10-03,9
2021-10-10,13
2021-10-17,13
2021-10-24,10
2021-10-31,5
2021-11-07,8
2021-11-14,15
2021-11-21,6
2021-11-28,5
2021-12-05,1
2021-12-12,4
2021-12-19,3
2021-12-26,0
2022-01-02,10
2022-01-09,8
2022-01-16,17
2022-01-23,13
2022-01-30,13
2022-02-06,3
2022-02-13,7
2022-02-20,5
2022-02-27,10
2022-03-06,4
2022-03-13,7
2022-03-20,14
2022-03-27,12
2022-04-03,13
2022-04-10,6
2022-04-17,17
2022-04-24,14
2022-05-01,28
2022-05-08,51
2022-05-15,52
2022-05-22,59
2022-05-29,59
2022-06-05,63
2022-06-12,52
2022-06-19,63
2022-06-26,58
2022-07-03,55
2022-07-10,46
2022-07-17,39
2022-07-24,49
2022-07-31,76
2022-08-07,80
2022-08-14,83
2022-08-21,60
2022-08-28,58
2022-09-04,38
2022-09-11,47
2022-09-18,37
2022-09-25,22
2022-10-02,21
2022-10-09,30
2022-10-16,34
2022-10-23,28
2022-10-30,28
2022-11-06,25
2022-11-13,35
2022-11-20,29
2022-11-27,13
2022-12-04,6
2022-12-11,0
2022-12-18,3
2022-12-25,20
2023-01-01,33
2023-01-08,42
2023-01-15,40
2023-01-22,48
2023-01-29,48
2023-02-05,70
2023-02-12,55
2023-02-19,67
2023-02-26,70
2023-03-05,58
2023-03-12,57
2023-03-19,52
2023-03-26,36
2023-04-02,26
2023-04-09,40
2023-04-16,38
2023-04-23,32
2023-04-30,49
2023-05-07,40
2023-05-14,51
2023-05-21,38
2023-05-28,36
2023-06-04,47
2023-06-11,47
2023-06-18,44
2023-06-25,43
2023-07-02,53
2023-07-09,63
2023-07-16,80
2023-07-23,114
2023-07-30,133
2023-08-06,149
2023-08-13,176
2023-08-20,189
2023-08-27,141
2023-09-03,119
2023-09-10,84
2023-09-17,69
2023-09-24,52
2023-10-01,20
2023-10-08,15
2023-10-15,27
2023-10-22,22
2023-10-29,20
2023-11-05,28
2023-11-12,31
2023-11-19,18
2023-11-26,22
2023-12-03,19
2023-12-10,31
2023-12-17,27
2023-12-24,12
2023-12-31,37
2024-01-07,39
2024-01-14,43
2024-01-21,40
2024-01-28,66
2024-02-04,48
2024-02-11,10
