"ew_start","sum_of_cases"
2017-12-31,9
2018-01-07,5
2018-01-14,7
2018-01-21,7
2018-01-28,6
2018-02-04,6
2018-02-11,8
2018-02-18,10
2018-02-25,6
2018-03-04,2
2018-03-11,10
2018-03-18,8
2018-03-25,9
2018-04-01,6
2018-04-04,15
2018-04-15,12
2018-04-22,8
2018-04-29,17
2018-05-06,22
2018-05-13,20
2018-05-20,36
2018-05-27,19
2018-06-03,24
2018-06-10,9
2018-06-17,11
2018-06-24,5
2018-07-01,6
2018-07-08,10
2018-07-15,19
2018-07-22,4
2018-07-29,4
2018-08-05,9
2018-08-12,12
2018-08-19,12
2018-08-26,6
2018-09-02,8
2018-09-09,13
2018-09-16,7
2018-09-23,10
2018-09-30,17
2018-10-07,18
2018-10-14,6
2018-10-21,12
2018-10-28,8
2018-11-04,10
2018-11-11,12
2018-11-18,12
2018-11-25,7
2018-12-02,10
2018-12-09,5
2018-12-16,5
2018-12-23,7
2018-12-30,15
2019-01-06,14
2019-01-13,17
2019-01-20,14
2019-01-27,10
2019-02-03,18
2019-02-10,17
2019-02-17,11
2019-02-24,16
2019-03-03,40
2019-03-10,49
2019-03-17,36
2019-03-24,42
2019-03-31,76
2019-04-07,117
2019-04-14,80
2019-04-21,120
2019-04-28,207
2019-05-05,232
2019-05-12,302
2019-05-19,297
2019-05-26,348
2019-06-02,338
2019-06-09,430
2019-06-16,447
2019-06-23,658
2019-06-30,685
2019-07-07,673
2019-07-14,645
2019-07-21,726
2019-07-28,684
2019-08-04,504
2019-08-11,471
2019-08-18,436
2019-08-25,335
2019-09-01,339
2019-09-08,335
2019-09-15,281
2019-09-22,202
2019-09-29,201
2019-10-06,179
2019-10-13,147
2019-10-20,142
2019-10-27,149
2019-11-03,107
2019-11-10,88
2019-11-17,66
2019-11-24,44
2019-12-01,50
2019-12-08,44
2019-12-15,39
2019-12-22,24
2019-12-29,17
2020-01-05,38
2020-01-12,38
2020-01-19,37
2020-01-26,24
2020-02-02,38
2020-02-09,32
2020-02-16,31
2020-02-23,42
2020-03-01,56
2020-03-08,91
2020-03-15,43
2020-03-22,18
2020-03-29,31
2020-04-05,24
2020-04-12,40
2020-04-19,53
2020-04-26,63
2020-05-03,88
2020-05-10,95
2020-05-17,123
2020-05-24,170
2020-05-31,193
2020-06-07,233
2020-06-14,240
2020-06-21,236
2020-06-28,290
2020-07-05,274
2020-07-12,249
2020-07-19,253
2020-07-26,220
2020-08-02,218
2020-08-09,197
2020-08-16,176
2020-08-23,141
2020-08-30,135
2020-09-06,135
2020-09-13,133
2020-09-20,126
2020-09-27,118
2020-10-04,81
2020-10-11,73
2020-10-18,48
2020-10-25,38
2020-11-01,38
2020-11-08,33
2020-11-15,37
2020-11-22,27
2020-11-29,37
2020-12-06,34
2020-12-13,25
2020-12-20,22
2020-12-27,12
2021-01-03,28
2021-01-10,15
2021-01-17,28
2021-01-24,35
2021-01-31,37
2021-02-07,36
2021-02-14,44
2021-02-21,32
2021-02-28,53
2021-03-07,49
2021-03-14,38
2021-03-21,24
2021-03-28,37
2021-04-04,41
2021-04-11,36
2021-04-18,36
2021-04-25,64
2021-05-02,52
2021-05-09,57
2021-05-16,78
2021-05-23,96
2021-05-30,58
2021-06-06,91
2021-06-13,91
2021-06-20,111
2021-06-27,107
2021-07-04,102
2021-07-11,111
2021-07-18,141
2021-07-25,154
2021-08-01,188
2021-08-08,145
2021-08-15,124
2021-08-22,115
2021-08-29,153
2021-09-05,167
2021-09-12,129
2021-09-19,110
2021-09-26,99
2021-10-03,110
2021-10-10,103
2021-10-17,95
2021-10-24,95
2021-10-31,129
2021-11-07,146
2021-11-14,114
2021-11-21,105
2021-11-28,118
2021-12-05,105
2021-12-12,86
2021-12-19,28
2021-12-26,0
2022-01-02,118
2022-01-09,104
2022-01-16,75
2022-01-23,72
2022-01-30,93
2022-02-06,74
2022-02-13,73
2022-02-20,80
2022-02-27,101
2022-03-06,94
2022-03-13,124
2022-03-20,132
2022-03-27,127
2022-04-03,164
2022-04-10,208
2022-04-17,291
2022-04-24,284
2022-05-01,364
2022-05-08,446
2022-05-15,461
2022-05-22,504
2022-05-29,571
2022-06-05,539
2022-06-12,500
2022-06-19,475
2022-06-26,473
2022-07-03,569
2022-07-10,525
2022-07-17,495
2022-07-24,510
2022-07-31,532
2022-08-07,462
2022-08-14,433
2022-08-21,356
2022-08-28,311
2022-09-04,276
2022-09-11,265
2022-09-18,230
2022-09-25,214
2022-10-02,252
2022-10-09,225
2022-10-16,179
2022-10-23,175
2022-10-30,158
2022-11-06,198
2022-11-13,191
2022-11-20,159
2022-11-27,110
2022-12-04,73
2022-12-11,8
2022-12-18,14
2022-12-25,44
2023-01-01,190
2023-01-08,201
2023-01-15,174
2023-01-22,176
2023-01-29,201
2023-02-05,174
2023-02-12,180
2023-02-19,212
2023-02-26,252
2023-03-05,262
2023-03-12,268
2023-03-19,242
2023-03-26,302
2023-04-02,262
2023-04-09,320
2023-04-16,273
2023-04-23,231
2023-04-30,319
2023-05-07,353
2023-05-14,287
2023-05-21,187
2023-05-28,302
2023-06-04,329
2023-06-11,315
2023-06-18,254
2023-06-25,284
2023-07-02,315
2023-07-09,289
2023-07-16,335
2023-07-23,253
2023-07-30,252
2023-08-06,266
2023-08-13,284
2023-08-20,269
2023-08-27,226
2023-09-03,181
2023-09-10,189
2023-09-17,160
2023-09-24,173
2023-10-01,159
2023-10-08,130
2023-10-15,137
2023-10-22,133
2023-10-29,136
2023-11-05,112
2023-11-12,131
2023-11-19,127
2023-11-26,108
2023-12-03,100
2023-12-10,89
2023-12-17,52
2023-12-24,32
2023-12-31,124
2024-01-07,115
2024-01-14,130
2024-01-21,115
2024-01-28,92
2024-02-04,67
2024-02-11,11
