"ew_start","sum_of_cases"
2017-12-31,57
2018-01-07,45
2018-01-14,81
2018-01-21,70
2018-01-28,62
2018-02-04,54
2018-02-11,69
2018-02-18,59
2018-02-25,77
2018-03-04,83
2018-03-11,120
2018-03-18,73
2018-03-25,69
2018-04-01,61
2018-04-04,74
2018-04-15,79
2018-04-22,88
2018-04-29,124
2018-05-06,125
2018-05-13,101
2018-05-20,73
2018-05-27,128
2018-06-03,77
2018-06-10,78
2018-06-17,64
2018-06-24,45
2018-07-01,65
2018-07-08,54
2018-07-15,47
2018-07-22,50
2018-07-29,47
2018-08-05,37
2018-08-12,41
2018-08-19,45
2018-08-26,24
2018-09-02,29
2018-09-09,25
2018-09-16,31
2018-09-23,19
2018-09-30,17
2018-10-07,8
2018-10-14,23
2018-10-21,21
2018-10-28,17
2018-11-04,14
2018-11-11,17
2018-11-18,19
2018-11-25,16
2018-12-02,22
2018-12-09,30
2018-12-16,35
2018-12-23,20
2018-12-30,39
2019-01-06,45
2019-01-13,56
2019-01-20,76
2019-01-27,57
2019-02-03,84
2019-02-10,82
2019-02-17,115
2019-02-24,75
2019-03-03,133
2019-03-10,172
2019-03-17,247
2019-03-24,313
2019-03-31,369
2019-04-07,363
2019-04-14,371
2019-04-21,543
2019-04-28,621
2019-05-05,631
2019-05-12,637
2019-05-19,591
2019-05-26,513
2019-06-02,543
2019-06-09,405
2019-06-16,343
2019-06-23,315
2019-06-30,323
2019-07-07,247
2019-07-14,235
2019-07-21,197
2019-07-28,141
2019-08-04,110
2019-08-11,75
2019-08-18,65
2019-08-25,75
2019-09-01,44
2019-09-08,48
2019-09-15,33
2019-09-22,30
2019-09-29,29
2019-10-06,32
2019-10-13,26
2019-10-20,32
2019-10-27,23
2019-11-03,27
2019-11-10,29
2019-11-17,25
2019-11-24,34
2019-12-01,33
2019-12-08,31
2019-12-15,20
2019-12-22,13
2019-12-29,15
2020-01-05,24
2020-01-12,28
2020-01-19,42
2020-01-26,45
2020-02-02,58
2020-02-09,67
2020-02-16,51
2020-02-23,74
2020-03-01,94
2020-03-08,122
2020-03-15,83
2020-03-22,37
2020-03-29,49
2020-04-05,74
2020-04-12,128
2020-04-19,136
2020-04-26,139
2020-05-03,135
2020-05-10,191
2020-05-17,174
2020-05-24,141
2020-05-31,126
2020-06-07,104
2020-06-14,90
2020-06-21,84
2020-06-28,62
2020-07-05,55
2020-07-12,47
2020-07-19,36
2020-07-26,46
2020-08-02,32
2020-08-09,31
2020-08-16,27
2020-08-23,19
2020-08-30,17
2020-09-06,16
2020-09-13,21
2020-09-20,23
2020-09-27,10
2020-10-04,8
2020-10-11,16
2020-10-18,12
2020-10-25,11
2020-11-01,10
2020-11-08,15
2020-11-15,19
2020-11-22,11
2020-11-29,17
2020-12-06,12
2020-12-13,14
2020-12-20,11
2020-12-27,4
2021-01-03,23
2021-01-10,26
2021-01-17,28
2021-01-24,26
2021-01-31,43
2021-02-07,46
2021-02-14,54
2021-02-21,46
2021-02-28,52
2021-03-07,63
2021-03-14,65
2021-03-21,58
2021-03-28,58
2021-04-04,83
2021-04-11,93
2021-04-18,124
2021-04-25,119
2021-05-02,128
2021-05-09,157
2021-05-16,172
2021-05-23,147
2021-05-30,197
2021-06-06,170
2021-06-13,164
2021-06-20,176
2021-06-27,132
2021-07-04,129
2021-07-11,142
2021-07-18,115
2021-07-25,187
2021-08-01,167
2021-08-08,156
2021-08-15,146
2021-08-22,110
2021-08-29,70
2021-09-05,76
2021-09-12,42
2021-09-19,43
2021-09-26,47
2021-10-03,39
2021-10-10,23
2021-10-17,13
2021-10-24,18
2021-10-31,29
2021-11-07,29
2021-11-14,21
2021-11-21,16
2021-11-28,40
2021-12-05,50
2021-12-12,39
2021-12-19,3
2021-12-26,0
2022-01-02,101
2022-01-09,162
2022-01-16,179
2022-01-23,167
2022-01-30,286
2022-02-06,377
2022-02-13,551
2022-02-20,455
2022-02-27,584
2022-03-06,908
2022-03-13,1232
2022-03-20,1803
2022-03-27,2145
2022-04-03,2238
2022-04-10,2196
2022-04-17,2991
2022-04-24,3058
2022-05-01,2344
2022-05-08,1980
2022-05-15,1616
2022-05-22,1267
2022-05-29,1486
2022-06-05,1078
2022-06-12,1043
2022-06-19,930
2022-06-26,646
2022-07-03,464
2022-07-10,373
2022-07-17,257
2022-07-24,170
2022-07-31,175
2022-08-07,139
2022-08-14,156
2022-08-21,112
2022-08-28,51
2022-09-04,80
2022-09-11,69
2022-09-18,26
2022-09-25,43
2022-10-02,25
2022-10-09,19
2022-10-16,15
2022-10-23,5
2022-10-30,15
2022-11-06,22
2022-11-13,22
2022-11-20,26
2022-11-27,4
2022-12-04,2
2022-12-11,2
2022-12-18,3
2022-12-25,19
2023-01-01,72
2023-01-08,70
2023-01-15,99
2023-01-22,143
2023-01-29,160
2023-02-05,218
2023-02-12,187
2023-02-19,255
2023-02-26,352
2023-03-05,372
2023-03-12,439
2023-03-19,454
2023-03-26,509
2023-04-02,480
2023-04-09,485
2023-04-16,493
2023-04-23,476
2023-04-30,480
2023-05-07,474
2023-05-14,511
2023-05-21,408
2023-05-28,336
2023-06-04,301
2023-06-11,277
2023-06-18,243
2023-06-25,188
2023-07-02,150
2023-07-09,164
2023-07-16,93
2023-07-23,97
2023-07-30,91
2023-08-06,68
2023-08-13,55
2023-08-20,55
2023-08-27,51
2023-09-03,38
2023-09-10,46
2023-09-17,36
2023-09-24,21
2023-10-01,28
2023-10-08,23
2023-10-15,30
2023-10-22,26
2023-10-29,16
2023-11-05,27
2023-11-12,27
2023-11-19,27
2023-11-26,26
2023-12-03,29
2023-12-10,30
2023-12-17,25
2023-12-24,25
2023-12-31,99
2024-01-07,142
2024-01-14,101
2024-01-21,98
2024-01-28,139
2024-02-04,150
2024-02-11,21
