Categoria: Todas as categorias

Semana,dengue: (Maranhão),sintomas dengue: (Maranhão),tratamento dengue: (Maranhão)
2019-03-24,23,4,0
2019-03-31,16,0,0
2019-04-07,21,7,0
2019-04-14,14,4,0
2019-04-21,22,6,0
2019-04-28,17,0,0
2019-05-05,20,9,0
2019-05-12,16,3,0
2019-05-19,16,0,4
2019-05-26,15,4,0
2019-06-02,12,4,0
2019-06-09,11,0,0
2019-06-16,13,4,0
2019-06-23,14,0,0
2019-06-30,8,0,0
2019-07-07,5,0,0
2019-07-14,6,0,0
2019-07-21,5,0,0
2019-07-28,4,0,0
2019-08-04,5,0,0
2019-08-11,4,0,0
2019-08-18,3,0,0
2019-08-25,4,0,0
2019-09-01,4,0,0
2019-09-08,8,0,0
2019-09-15,9,3,0
2019-09-22,4,0,0
2019-09-29,6,0,0
2019-10-06,4,0,0
2019-10-13,3,0,0
2019-10-20,7,0,0
2019-10-27,4,0,0
2019-11-03,4,0,0
2019-11-10,6,0,0
2019-11-17,7,0,0
2019-11-24,6,0,0
2019-12-01,5,0,0
2019-12-08,5,0,0
2019-12-15,4,0,0
2019-12-22,7,0,0
2019-12-29,0,0,0
2020-01-05,6,0,0
2020-01-12,8,3,0
2020-01-19,8,0,0
2020-01-26,8,0,0
2020-02-02,9,4,0
2020-02-09,11,0,0
2020-02-16,17,5,0
2020-02-23,13,6,0
2020-03-01,19,3,0
2020-03-08,22,4,0
2020-03-15,21,7,0
2020-03-22,18,3,0
2020-03-29,18,4,0
2020-04-05,14,4,0
2020-04-12,17,5,0
2020-04-19,18,6,0
2020-04-26,18,6,0
2020-05-03,13,6,0
2020-05-10,14,4,0
2020-05-17,8,4,0
2020-05-24,8,0,0
2020-05-31,5,0,0
2020-06-07,7,0,2
2020-06-14,8,0,0
2020-06-21,3,0,0
2020-06-28,6,3,0
2020-07-05,6,0,0
2020-07-12,4,0,0
2020-07-19,4,2,0
2020-07-26,0,0,0
2020-08-02,0,0,0
2020-08-09,7,0,0
2020-08-16,4,0,0
2020-08-23,4,0,0
2020-08-30,6,0,0
2020-09-06,3,0,0
2020-09-13,4,0,0
2020-09-20,5,0,0
2020-09-27,3,0,0
2020-10-04,6,0,0
2020-10-11,5,0,0
2020-10-18,5,0,0
2020-10-25,8,0,0
2020-11-01,3,0,0
2020-11-08,4,0,0
2020-11-15,4,0,0
2020-11-22,4,0,0
2020-11-29,4,0,0
2020-12-06,4,0,0
2020-12-13,3,0,3
2020-12-20,3,0,0
2020-12-27,5,0,0
2021-01-03,6,0,0
2021-01-10,5,0,0
2021-01-17,3,0,0
2021-01-24,5,0,0
2021-01-31,5,0,0
2021-02-07,8,0,0
2021-02-14,4,0,0
2021-02-21,4,0,0
2021-02-28,7,0,0
2021-03-07,10,0,0
2021-03-14,9,0,0
2021-03-21,9,3,0
2021-03-28,5,0,0
2021-04-04,9,3,0
2021-04-11,6,0,0
2021-04-18,6,0,0
2021-04-25,7,0,0
2021-05-02,7,2,0
2021-05-09,6,0,0
2021-05-16,9,0,0
2021-05-23,6,0,0
2021-05-30,5,0,0
2021-06-06,9,0,0
2021-06-13,6,0,0
2021-06-20,7,0,0
2021-06-27,4,0,0
2021-07-04,5,0,0
2021-07-11,4,0,0
2021-07-18,4,0,0
2021-07-25,0,0,0
2021-08-01,3,0,0
2021-08-08,0,0,0
2021-08-15,5,3,0
2021-08-22,7,0,0
2021-08-29,5,0,0
2021-09-05,4,0,0
2021-09-12,5,3,0
2021-09-19,0,0,0
2021-09-26,4,0,0
2021-10-03,3,0,0
2021-10-10,0,0,0
2021-10-17,4,0,0
2021-10-24,2,0,0
2021-10-31,3,0,0
2021-11-07,5,0,0
2021-11-14,6,0,0
2021-11-21,6,0,0
2021-11-28,7,0,0
2021-12-05,6,0,0
2021-12-12,8,4,0
2021-12-19,8,0,0
2021-12-26,6,0,0
2022-01-02,8,0,0
2022-01-09,13,3,0
2022-01-16,14,3,0
2022-01-23,12,2,0
2022-01-30,8,2,0
2022-02-06,9,0,0
2022-02-13,11,0,0
2022-02-20,13,4,0
2022-02-27,14,2,0
2022-03-06,10,0,0
2022-03-13,14,3,0
2022-03-20,15,4,0
2022-03-27,21,6,0
2022-04-03,22,4,0
2022-04-10,19,5,0
2022-04-17,30,11,0
2022-04-24,28,6,0
2022-05-01,28,9,0
2022-05-08,29,8,0
2022-05-15,28,6,0
2022-05-22,27,7,0
2022-05-29,26,8,0
2022-06-05,23,6,0
2022-06-12,18,5,0
2022-06-19,20,8,0
2022-06-26,18,6,0
2022-07-03,20,7,0
2022-07-10,14,5,0
2022-07-17,13,2,0
2022-07-24,10,3,0
2022-07-31,8,3,0
2022-08-07,10,2,0
2022-08-14,6,2,0
2022-08-21,10,3,0
2022-08-28,13,3,0
2022-09-04,6,0,0
2022-09-11,9,0,0
2022-09-18,8,2,0
2022-09-25,8,4,0
2022-10-02,8,3,0
2022-10-09,8,2,0
2022-10-16,9,0,2
2022-10-23,5,2,0
2022-10-30,4,0,0
2022-11-06,8,2,0
2022-11-13,8,0,0
2022-11-20,8,0,0
2022-11-27,7,2,0
2022-12-04,8,2,0
2022-12-11,7,3,0
2022-12-18,5,0,0
2022-12-25,10,3,0
2023-01-01,9,3,0
2023-01-08,7,0,0
2023-01-15,11,3,0
2023-01-22,15,5,0
2023-01-29,12,3,0
2023-02-05,14,4,0
2023-02-12,19,4,0
2023-02-19,19,5,0
2023-02-26,25,6,0
2023-03-05,30,9,0
2023-03-12,31,12,2
2023-03-19,33,11,0
2023-03-26,38,10,0
2023-04-02,25,8,0
2023-04-09,29,8,0
2023-04-16,20,7,0
2023-04-23,23,5,0
2023-04-30,22,9,0
2023-05-07,23,4,0
2023-05-14,23,7,0
2023-05-21,17,6,2
2023-05-28,17,4,0
2023-06-04,14,2,0
2023-06-11,15,5,0
2023-06-18,14,4,0
2023-06-25,15,3,0
2023-07-02,17,4,0
2023-07-09,11,3,0
2023-07-16,8,0,0
2023-07-23,7,0,0
2023-07-30,6,0,0
2023-08-06,8,3,0
2023-08-13,7,4,0
2023-08-20,8,0,0
2023-08-27,5,0,0
2023-09-03,6,0,0
2023-09-10,4,0,0
2023-09-17,6,0,0
2023-09-24,6,0,0
2023-10-01,6,0,0
2023-10-08,4,0,0
2023-10-15,4,0,0
2023-10-22,8,0,0
2023-10-29,7,0,0
2023-11-05,4,0,0
2023-11-12,5,0,0
2023-11-19,7,0,0
2023-11-26,7,2,0
2023-12-03,7,0,0
2023-12-10,5,2,0
2023-12-17,4,0,0
2023-12-24,7,0,0
2023-12-31,5,0,0
2024-01-07,9,3,0
2024-01-14,11,2,0
2024-01-21,14,3,0
2024-01-28,19,7,0
2024-02-04,33,7,0
2024-02-11,58,15,3
2024-02-18,93,21,0
2024-02-25,100,25,0
2024-03-03,94,19,3
2024-03-10,87,24,1
2024-03-17,97,22,1
2024-03-24,74,20,1
