Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas),tratamento dengue: (Amazonas)
2019-03-24,9,11,0
2019-03-31,8,0,0
2019-04-07,13,0,0
2019-04-14,9,0,0
2019-04-21,9,0,0
2019-04-28,7,0,0
2019-05-05,9,0,0
2019-05-12,9,0,0
2019-05-19,6,0,0
2019-05-26,12,0,0
2019-06-02,8,0,0
2019-06-09,11,0,0
2019-06-16,10,0,0
2019-06-23,6,0,0
2019-06-30,8,0,0
2019-07-07,5,0,0
2019-07-14,8,0,0
2019-07-21,8,0,0
2019-07-28,7,0,0
2019-08-04,5,5,0
2019-08-11,4,0,0
2019-08-18,7,0,0
2019-08-25,9,0,0
2019-09-01,6,0,0
2019-09-08,0,5,0
2019-09-15,6,0,0
2019-09-22,10,0,0
2019-09-29,7,0,0
2019-10-06,8,0,0
2019-10-13,9,0,0
2019-10-20,6,0,0
2019-10-27,7,0,0
2019-11-03,12,0,0
2019-11-10,8,0,0
2019-11-17,9,0,0
2019-11-24,14,0,0
2019-12-01,12,0,0
2019-12-08,6,0,0
2019-12-15,7,0,0
2019-12-22,6,0,0
2019-12-29,17,6,0
2020-01-05,12,0,0
2020-01-12,9,6,0
2020-01-19,6,0,0
2020-01-26,14,4,0
2020-02-02,13,4,0
2020-02-09,19,5,0
2020-02-16,13,0,0
2020-02-23,11,0,0
2020-03-01,16,0,0
2020-03-08,17,4,0
2020-03-15,29,6,0
2020-03-22,21,4,0
2020-03-29,18,6,0
2020-04-05,29,9,0
2020-04-12,26,9,0
2020-04-19,24,10,0
2020-04-26,21,5,0
2020-05-03,7,5,0
2020-05-10,8,0,0
2020-05-17,9,0,0
2020-05-24,12,0,0
2020-05-31,17,4,0
2020-06-07,13,0,0
2020-06-14,12,0,0
2020-06-21,7,0,0
2020-06-28,6,0,0
2020-07-05,8,0,0
2020-07-12,11,0,0
2020-07-19,19,5,0
2020-07-26,7,0,0
2020-08-02,8,0,0
2020-08-09,5,5,0
2020-08-16,7,0,0
2020-08-23,7,0,0
2020-08-30,8,0,0
2020-09-06,7,0,0
2020-09-13,7,0,0
2020-09-20,7,0,0
2020-09-27,5,5,0
2020-10-04,10,0,0
2020-10-11,6,0,0
2020-10-18,10,4,0
2020-10-25,6,0,0
2020-11-01,7,0,0
2020-11-08,7,0,0
2020-11-15,10,0,0
2020-11-22,15,0,0
2020-11-29,10,0,0
2020-12-06,11,0,0
2020-12-13,14,4,0
2020-12-20,10,5,0
2020-12-27,17,6,0
2021-01-03,29,11,5
2021-01-10,18,8,0
2021-01-17,20,7,0
2021-01-24,27,7,0
2021-01-31,16,6,0
2021-02-07,18,0,0
2021-02-14,20,6,0
2021-02-21,20,6,0
2021-02-28,26,11,0
2021-03-07,15,6,0
2021-03-14,18,4,0
2021-03-21,27,6,0
2021-03-28,20,4,0
2021-04-04,18,5,0
2021-04-11,18,4,0
2021-04-18,26,8,0
2021-04-25,20,5,0
2021-05-02,19,0,0
2021-05-09,17,0,0
2021-05-16,19,5,0
2021-05-23,18,4,0
2021-05-30,13,0,0
2021-06-06,13,5,0
2021-06-13,16,0,0
2021-06-20,11,3,0
2021-06-27,6,4,0
2021-07-04,13,0,0
2021-07-11,14,0,0
2021-07-18,8,6,0
2021-07-25,9,0,0
2021-08-01,12,0,0
2021-08-08,9,0,0
2021-08-15,15,0,0
2021-08-22,11,0,0
2021-08-29,9,0,0
2021-09-05,8,0,0
2021-09-12,9,4,0
2021-09-19,4,4,0
2021-09-26,8,0,0
2021-10-03,8,0,0
2021-10-10,6,0,0
2021-10-17,6,0,0
2021-10-24,4,0,0
2021-10-31,8,0,0
2021-11-07,11,0,0
2021-11-14,5,0,4
2021-11-21,7,0,0
2021-11-28,5,0,0
2021-12-05,8,0,0
2021-12-12,10,7,0
2021-12-19,6,0,0
2021-12-26,0,0,0
2022-01-02,7,0,0
2022-01-09,9,0,0
2022-01-16,9,0,0
2022-01-23,10,0,0
2022-01-30,7,0,0
2022-02-06,4,0,0
2022-02-13,11,0,0
2022-02-20,11,4,0
2022-02-27,11,0,0
2022-03-06,10,0,0
2022-03-13,11,0,0
2022-03-20,16,5,0
2022-03-27,17,3,3
2022-04-03,16,0,0
2022-04-10,14,4,0
2022-04-17,16,5,0
2022-04-24,19,0,0
2022-05-01,17,7,0
2022-05-08,16,0,0
2022-05-15,18,7,0
2022-05-22,20,3,0
2022-05-29,18,0,0
2022-06-05,16,6,0
2022-06-12,16,4,0
2022-06-19,12,0,0
2022-06-26,8,3,0
2022-07-03,9,0,0
2022-07-10,6,0,0
2022-07-17,11,0,0
2022-07-24,13,0,0
2022-07-31,11,0,0
2022-08-07,10,0,0
