Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2019-03-24,18,4,0
2019-03-31,26,5,5
2019-04-07,30,5,0
2019-04-14,21,0,0
2019-04-21,21,4,0
2019-04-28,25,4,0
2019-05-05,26,0,0
2019-05-12,39,12,0
2019-05-19,28,4,0
2019-05-26,35,8,0
2019-06-02,31,7,0
2019-06-09,32,10,0
2019-06-16,35,10,0
2019-06-23,32,6,0
2019-06-30,30,8,0
2019-07-07,29,8,0
2019-07-14,31,7,0
2019-07-21,27,8,0
2019-07-28,17,5,0
2019-08-04,22,0,0
2019-08-11,19,4,0
2019-08-18,15,5,0
2019-08-25,12,0,0
2019-09-01,10,0,0
2019-09-08,6,0,0
2019-09-15,15,0,0
2019-09-22,10,0,0
2019-09-29,8,0,0
2019-10-06,8,0,0
2019-10-13,9,0,0
2019-10-20,6,0,0
2019-10-27,5,0,0
2019-11-03,9,0,0
2019-11-10,8,0,0
2019-11-17,5,0,0
2019-11-24,7,0,0
2019-12-01,5,0,0
2019-12-08,0,0,0
2019-12-15,0,0,0
2019-12-22,5,0,0
2019-12-29,8,0,0
2020-01-05,7,0,0
2020-01-12,6,4,0
2020-01-19,7,0,0
2020-01-26,9,0,0
2020-02-02,9,0,0
2020-02-09,9,0,0
2020-02-16,11,0,0
2020-02-23,15,6,0
2020-03-01,14,3,0
2020-03-08,24,4,0
2020-03-15,24,5,3
2020-03-22,26,5,0
2020-03-29,14,3,0
2020-04-05,18,6,0
2020-04-12,17,3,0
2020-04-19,14,3,0
2020-04-26,17,6,0
2020-05-03,13,4,0
2020-05-10,21,8,0
2020-05-17,21,8,0
2020-05-24,21,6,0
2020-05-31,16,5,0
2020-06-07,23,6,0
2020-06-14,19,6,0
2020-06-21,18,4,0
2020-06-28,15,4,0
2020-07-05,15,5,0
2020-07-12,15,4,0
2020-07-19,12,0,5
2020-07-26,10,0,0
2020-08-02,11,6,0
2020-08-09,8,0,0
2020-08-16,6,0,0
2020-08-23,5,0,0
2020-08-30,5,0,0
2020-09-06,6,0,0
2020-09-13,4,0,0
2020-09-20,4,0,0
2020-09-27,4,0,0
2020-10-04,4,0,0
2020-10-11,5,0,0
2020-10-18,4,0,0
2020-10-25,5,0,0
2020-11-01,0,0,0
2020-11-08,5,0,0
2020-11-15,0,0,0
2020-11-22,4,0,0
2020-11-29,7,0,0
2020-12-06,6,5,0
2020-12-13,6,0,0
2020-12-20,4,0,0
2020-12-27,5,0,0
2021-01-03,4,4,0
2021-01-10,4,0,0
2021-01-17,5,0,0
2021-01-24,3,0,0
2021-01-31,8,0,0
2021-02-07,6,0,0
2021-02-14,8,0,0
2021-02-21,4,0,0
2021-02-28,4,0,0
2021-03-07,9,3,0
2021-03-14,8,0,0
2021-03-21,6,0,0
2021-03-28,8,5,0
2021-04-04,6,0,0
2021-04-11,8,0,0
2021-04-18,9,0,0
2021-04-25,12,3,0
2021-05-02,7,0,0
2021-05-09,7,0,0
2021-05-16,6,0,0
2021-05-23,13,0,0
2021-05-30,7,4,0
2021-06-06,11,3,0
2021-06-13,11,5,0
2021-06-20,8,3,0
2021-06-27,7,0,0
2021-07-04,6,0,0
2021-07-11,8,0,0
2021-07-18,6,0,0
2021-07-25,9,0,0
2021-08-01,7,0,0
2021-08-08,6,0,0
2021-08-15,6,0,0
2021-08-22,5,0,0
2021-08-29,0,0,0
2021-09-05,0,0,0
2021-09-12,7,0,0
2021-09-19,5,3,0
