Categoria: Todas as categorias

Semana,dengue: (Acre)
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,12
2019-10-20,13
2019-10-27,0
2019-11-03,0
2019-11-10,13
2019-11-17,22
2019-11-24,16
2019-12-01,20
2019-12-08,32
2019-12-15,16
2019-12-22,20
2019-12-29,22
2020-01-05,17
2020-01-12,15
2020-01-19,15
2020-01-26,15
2020-02-02,12
2020-02-09,20
2020-02-16,13
2020-02-23,11
2020-03-01,17
2020-03-08,18
2020-03-15,18
2020-03-22,14
2020-03-29,10
2020-04-05,0
2020-04-12,0
2020-04-19,10
2020-04-26,12
2020-05-03,13
2020-05-10,13
2020-05-17,12
2020-05-24,10
2020-05-31,12
2020-06-07,14
2020-06-14,13
2020-06-21,17
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,9
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,8
2020-11-29,14
2020-12-06,17
2020-12-13,17
2020-12-20,26
2020-12-27,30
2021-01-03,43
2021-01-10,49
2021-01-17,54
2021-01-24,55
2021-01-31,63
2021-02-07,61
2021-02-14,68
2021-02-21,64
2021-02-28,52
2021-03-07,50
2021-03-14,35
2021-03-21,28
2021-03-28,26
2021-04-04,19
2021-04-11,14
2021-04-18,11
2021-04-25,11
2021-05-02,0
2021-05-09,9
2021-05-16,11
2021-05-23,0
2021-05-30,0
2021-06-06,14
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,11
2021-12-05,0
2021-12-12,14
2021-12-19,0
2021-12-26,0
2022-01-02,10
2022-01-09,11
2022-01-16,16
2022-01-23,16
2022-01-30,17
2022-02-06,0
2022-02-13,9
2022-02-20,8
2022-02-27,8
2022-03-06,8
2022-03-13,11
2022-03-20,8
2022-03-27,8
2022-04-03,6
2022-04-10,7
2022-04-17,14
2022-04-24,0
2022-05-01,9
2022-05-08,8
2022-05-15,7
2022-05-22,9
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,7
2022-06-26,7
2022-07-03,0
2022-07-10,8
2022-07-17,0
2022-07-24,11
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,7
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,11
2022-11-20,7
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,9
2023-01-08,8
2023-01-15,0
2023-01-22,9
2023-01-29,15
2023-02-05,16
2023-02-12,20
2023-02-19,13
2023-02-26,17
2023-03-05,19
2023-03-12,17
2023-03-19,18
2023-03-26,16
2023-04-02,20
2023-04-09,19
2023-04-16,27
2023-04-23,18
2023-04-30,13
2023-05-07,12
2023-05-14,17
2023-05-21,8
2023-05-28,9
2023-06-04,11
2023-06-11,0
2023-06-18,6
2023-06-25,0
2023-07-02,8
2023-07-09,0
2023-07-16,0
2023-07-23,9
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,9
2023-09-03,0
2023-09-10,0
2023-09-17,8
2023-09-24,0
2023-10-01,8
2023-10-08,10
2023-10-15,0
2023-10-22,0
2023-10-29,9
2023-11-05,12
2023-11-12,13
2023-11-19,25
2023-11-26,30
2023-12-03,41
2023-12-10,85
2023-12-17,96
2023-12-24,100
2023-12-31,94
2024-01-07,97
2024-01-14,55
2024-01-21,40
2024-01-28,30
2024-02-04,28
2024-02-11,39
2024-02-18,31
2024-02-25,19
2024-03-03,29
2024-03-10,18
2024-03-17,17
2024-03-24,14
2024-03-31,11
2024-04-07,17
2024-04-14,18
2024-04-21,29
