Categoria: Todas as categorias

Semana,dengue: (Mato Grosso),sintomas dengue: (Mato Grosso),tratamento dengue: (Mato Grosso)
2019-04-07,21,0,0
2019-04-14,19,6,0
2019-04-21,19,6,0
2019-04-28,25,9,0
2019-05-05,28,6,0
2019-05-12,28,6,0
2019-05-19,23,6,0
2019-05-26,22,4,0
2019-06-02,20,6,0
2019-06-09,20,0,0
2019-06-16,17,5,0
2019-06-23,16,5,0
2019-06-30,11,0,0
2019-07-07,10,0,0
2019-07-14,8,5,0
2019-07-21,5,0,0
2019-07-28,5,0,0
2019-08-04,4,0,0
2019-08-11,9,4,0
2019-08-18,8,0,0
2019-08-25,8,0,0
2019-09-01,7,0,0
2019-09-08,6,0,0
2019-09-15,7,0,0
2019-09-22,8,0,0
2019-09-29,8,0,0
2019-10-06,6,0,0
2019-10-13,10,4,0
2019-10-20,12,0,0
2019-10-27,8,0,0
2019-11-03,12,3,0
2019-11-10,13,0,0
2019-11-17,10,4,0
2019-11-24,10,0,0
2019-12-01,13,5,0
2019-12-08,15,0,0
2019-12-15,16,6,0
2019-12-22,18,0,0
2019-12-29,20,5,0
2020-01-05,27,7,0
2020-01-12,41,10,0
2020-01-19,41,9,0
2020-01-26,33,9,0
2020-02-02,44,10,0
2020-02-09,42,16,0
2020-02-16,44,11,0
2020-02-23,39,10,3
2020-03-01,46,12,0
2020-03-08,61,14,0
2020-03-15,79,21,0
2020-03-22,55,15,0
2020-03-29,43,11,0
2020-04-05,39,8,0
2020-04-12,36,8,0
2020-04-19,34,7,0
2020-04-26,35,7,0
2020-05-03,33,9,0
2020-05-10,29,7,0
2020-05-17,22,4,0
2020-05-24,30,8,0
2020-05-31,29,8,0
2020-06-07,29,12,0
2020-06-14,34,11,0
2020-06-21,29,11,0
2020-06-28,24,9,0
2020-07-05,22,9,0
2020-07-12,20,5,3
2020-07-19,19,8,0
2020-07-26,16,8,0
2020-08-02,10,4,0
2020-08-09,13,3,0
2020-08-16,12,2,0
2020-08-23,10,4,0
2020-08-30,7,0,0
2020-09-06,7,0,0
2020-09-13,6,0,0
2020-09-20,11,4,0
2020-09-27,10,0,0
2020-10-04,5,0,0
2020-10-11,3,3,0
2020-10-18,8,0,0
2020-10-25,6,0,0
2020-11-01,9,0,0
2020-11-08,8,0,0
2020-11-15,6,0,0
2020-11-22,9,4,0
2020-11-29,10,3,0
2020-12-06,10,3,0
2020-12-13,12,4,0
2020-12-20,11,0,0
2020-12-27,19,8,0
2021-01-03,14,7,0
2021-01-10,17,6,0
2021-01-17,20,4,0
2021-01-24,16,5,0
2021-01-31,18,5,0
2021-02-07,20,4,0
2021-02-14,21,8,0
2021-02-21,20,6,0
2021-02-28,22,7,0
2021-03-07,26,9,3
2021-03-14,27,8,0
2021-03-21,29,9,0
2021-03-28,25,7,0
2021-04-04,27,10,0
2021-04-11,23,9,0
2021-04-18,24,7,0
2021-04-25,18,5,0
2021-05-02,18,4,0
2021-05-09,20,3,0
2021-05-16,21,4,0
2021-05-23,21,6,0
2021-05-30,21,5,0
2021-06-06,17,4,2
2021-06-13,15,4,0
2021-06-20,15,3,0
2021-06-27,6,0,0
2021-07-04,11,3,0
2021-07-11,12,3,0
2021-07-18,7,0,0
2021-07-25,7,0,0
2021-08-01,8,4,2
2021-08-08,11,4,0
2021-08-15,7,0,0
2021-08-22,11,0,0
2021-08-29,10,0,4
2021-09-05,5,0,0
2021-09-12,7,0,0
2021-09-19,7,0,0
2021-09-26,8,0,0
2021-10-03,0,0,0
2021-10-10,9,0,0
2021-10-17,9,0,0
2021-10-24,9,4,0
2021-10-31,7,0,0
2021-11-07,9,0,0
2021-11-14,12,0,0
2021-11-21,17,0,0
2021-11-28,17,5,0
2021-12-05,20,6,0
2021-12-12,30,9,0
2021-12-19,38,10,0
2021-12-26,40,12,0
2022-01-02,44,13,0
2022-01-09,37,11,0
