Categoria: Todas as categorias

Semana,dengue: (Rondônia),sintomas dengue: (Rondônia),tratamento dengue: (Rondônia)
2019-03-03,14,0,0
2019-03-10,16,0,0
2019-03-17,12,0,0
2019-03-24,12,0,0
2019-03-31,13,0,0
2019-04-07,14,0,0
2019-04-14,11,0,0
2019-04-21,0,0,0
2019-04-28,10,0,0
2019-05-05,0,0,0
2019-05-12,10,9,0
2019-05-19,0,0,0
2019-05-26,0,0,0
2019-06-02,8,0,0
2019-06-09,9,8,0
2019-06-16,11,0,0
2019-06-23,11,0,0
2019-06-30,7,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,7,0,0
2019-08-04,10,0,0
2019-08-11,0,0,0
2019-08-18,0,0,0
2019-08-25,0,0,0
2019-09-01,9,0,0
2019-09-08,0,0,0
2019-09-15,0,0,0
2019-09-22,0,0,0
2019-09-29,10,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,12,0,0
2019-10-27,10,8,0
2019-11-03,14,0,0
2019-11-10,17,0,0
2019-11-17,7,6,0
2019-11-24,10,0,0
2019-12-01,10,10,0
2019-12-08,8,0,0
2019-12-15,14,0,0
2019-12-22,11,11,0
2019-12-29,0,0,0
2020-01-05,17,0,0
2020-01-12,14,9,0
2020-01-19,11,9,0
2020-01-26,8,0,0
2020-02-02,15,0,0
2020-02-09,23,0,0
2020-02-16,15,0,0
2020-02-23,25,7,0
2020-03-01,25,0,5
2020-03-08,38,8,0
2020-03-15,43,14,0
2020-03-22,46,14,0
2020-03-29,21,14,0
2020-04-05,21,5,0
2020-04-12,25,8,0
2020-04-19,21,5,0
2020-04-26,19,6,0
2020-05-03,22,6,0
2020-05-10,20,0,0
2020-05-17,33,9,0
2020-05-24,23,12,0
2020-05-31,17,7,0
2020-06-07,20,0,0
2020-06-14,19,6,0
2020-06-21,23,0,0
2020-06-28,15,0,0
2020-07-05,20,0,0
2020-07-12,10,0,0
2020-07-19,14,7,0
2020-07-26,14,0,0
2020-08-02,10,0,0
2020-08-09,5,0,0
2020-08-16,5,0,0
2020-08-23,0,0,0
2020-08-30,7,0,0
2020-09-06,9,0,0
2020-09-13,7,0,0
