Categoria: Todas as categorias

Semana,dengue: (Mato Grosso do Sul),sintomas dengue: (Mato Grosso do Sul),tratamento dengue: (Mato Grosso do Sul)
2019-03-03,46,16,0
2019-03-10,49,11,0
2019-03-17,69,21,0
2019-03-24,100,20,0
2019-03-31,82,17,0
2019-04-07,87,23,0
2019-04-14,64,17,0
2019-04-21,57,14,0
2019-04-28,57,16,0
2019-05-05,50,12,0
2019-05-12,48,12,3
2019-05-19,43,10,0
2019-05-26,31,10,0
2019-06-02,26,4,0
2019-06-09,26,5,0
2019-06-16,25,4,0
2019-06-23,17,5,0
2019-06-30,15,6,0
2019-07-07,9,3,0
2019-07-14,7,0,0
2019-07-21,10,0,0
2019-07-28,10,0,0
2019-08-04,6,3,0
2019-08-11,7,0,0
2019-08-18,9,0,0
2019-08-25,8,0,0
2019-09-01,6,0,0
2019-09-08,6,0,3
2019-09-15,8,0,0
2019-09-22,9,0,0
2019-09-29,7,0,0
2019-10-06,5,0,0
2019-10-13,2,0,0
2019-10-20,7,0,0
2019-10-27,5,0,0
2019-11-03,5,0,0
2019-11-10,9,0,0
2019-11-17,10,0,0
2019-11-24,6,0,0
2019-12-01,10,3,0
2019-12-08,11,0,0
2019-12-15,12,0,0
2019-12-22,14,4,0
2019-12-29,17,6,0
2020-01-05,24,6,0
2020-01-12,32,11,0
2020-01-19,48,10,0
2020-01-26,46,10,0
2020-02-02,50,10,2
2020-02-09,60,10,0
2020-02-16,60,14,0
2020-02-23,63,16,0
2020-03-01,66,16,2
2020-03-08,76,18,0
2020-03-15,70,18,2
2020-03-22,61,14,0
2020-03-29,50,12,0
2020-04-05,45,11,0
2020-04-12,39,6,0
2020-04-19,34,7,0
2020-04-26,34,7,0
2020-05-03,21,3,0
2020-05-10,18,3,0
2020-05-17,20,5,0
2020-05-24,15,2,0
2020-05-31,12,0,0
2020-06-07,14,0,0
2020-06-14,13,4,0
2020-06-21,16,3,0
2020-06-28,12,4,0
2020-07-05,13,3,0
2020-07-12,12,4,0
2020-07-19,12,3,0
2020-07-26,13,4,0
2020-08-02,8,4,0
2020-08-09,10,0,0
2020-08-16,8,3,0
2020-08-23,6,0,0
2020-08-30,6,0,0
2020-09-06,7,0,0
2020-09-13,8,0,0
2020-09-20,11,3,0
2020-09-27,4,0,0
2020-10-04,5,0,0
2020-10-11,5,3,0
2020-10-18,5,0,0
2020-10-25,5,0,0
2020-11-01,8,3,0
2020-11-08,6,0,0
2020-11-15,9,0,0
2020-11-22,10,3,0
2020-11-29,8,3,0
2020-12-06,11,3,0
2020-12-13,9,4,0
2020-12-20,12,5,0
2020-12-27,11,4,0
2021-01-03,11,5,0
2021-01-10,9,3,0
2021-01-17,11,4,0
2021-01-24,12,4,0
2021-01-31,18,7,0
2021-02-07,19,9,0
2021-02-14,21,5,0
2021-02-21,16,5,0
2021-02-28,22,8,0
2021-03-07,21,8,0
2021-03-14,23,5,0
2021-03-21,24,8,0
2021-03-28,24,8,0
2021-04-04,20,7,0
2021-04-11,17,4,0
2021-04-18,17,4,0
2021-04-25,19,4,0
2021-05-02,14,3,0
2021-05-09,15,3,0
2021-05-16,14,4,0
2021-05-23,12,2,0
2021-05-30,16,4,0
2021-06-06,10,3,0
2021-06-13,11,2,0
2021-06-20,9,0,0
2021-06-27,4,2,0
2021-07-04,4,0,0
2021-07-11,5,0,0
2021-07-18,2,2,0
2021-07-25,5,0,0
2021-08-01,4,0,0
2021-08-08,5,0,0
2021-08-15,0,0,0
2021-08-22,5,0,0
2021-08-29,6,0,0
2021-09-05,3,0,0
2021-09-12,4,0,0
2021-09-19,5,0,0
2021-09-26,5,0,0
2021-10-03,4,0,0
2021-10-10,3,0,0
2021-10-17,0,0,0
2021-10-24,4,0,0
2021-10-31,5,3,0
2021-11-07,7,3,0
2021-11-14,5,0,0
2021-11-21,5,0,0
2021-11-28,6,0,0
2021-12-05,6,0,0
2021-12-12,4,2,0
2021-12-19,7,0,0
2021-12-26,6,0,0
2022-01-02,7,0,0
2022-01-09,13,4,0
2022-01-16,13,5,0
2022-01-23,10,5,0
2022-01-30,7,0,0
2022-02-06,13,5,0
2022-02-13,8,2,0
2022-02-20,8,2,0
2022-02-27,11,4,0
2022-03-06,9,0,0
2022-03-13,16,4,0
2022-03-20,14,3,0
2022-03-27,16,5,0
2022-04-03,24,6,0
2022-04-10,23,7,2
2022-04-17,33,7,0
2022-04-24,43,11,0
2022-05-01,40,10,0
2022-05-08,44,12,0
2022-05-15,27,7,0
