Categoria: Todas as categorias

Semana,dengue: (Amazonas),sintomas dengue: (Amazonas),tratamento dengue: (Amazonas)
2019-03-03,9,0,0
2019-03-10,11,0,0
2019-03-17,16,0,0
2019-03-24,11,0,0
2019-03-31,8,0,0
2019-04-07,12,0,0
2019-04-14,9,0,0
2019-04-21,13,0,0
2019-04-28,8,0,0
2019-05-05,8,0,0
2019-05-12,10,0,0
2019-05-19,6,0,0
2019-05-26,12,0,0
2019-06-02,8,0,0
2019-06-09,8,0,0
2019-06-16,8,0,0
2019-06-23,5,0,0
2019-06-30,5,0,12
2019-07-07,0,0,0
2019-07-14,8,0,0
2019-07-21,7,0,0
2019-07-28,5,0,0
2019-08-04,6,0,0
2019-08-11,0,0,0
2019-08-18,8,0,0
2019-08-25,8,0,0
2019-09-01,6,0,0
2019-09-08,0,0,0
2019-09-15,5,0,0
2019-09-22,8,0,0
2019-09-29,6,0,0
2019-10-06,9,0,0
2019-10-13,9,0,0
2019-10-20,10,0,0
2019-10-27,9,0,0
2019-11-03,12,5,0
2019-11-10,7,0,0
2019-11-17,9,0,0
2019-11-24,12,0,0
2019-12-01,10,0,0
2019-12-08,6,0,0
2019-12-15,7,0,0
2019-12-22,0,6,0
2019-12-29,14,0,0
2020-01-05,11,0,0
2020-01-12,9,0,0
2020-01-19,7,0,0
2020-01-26,14,4,0
2020-02-02,14,0,0
2020-02-09,18,4,4
2020-02-16,14,5,0
2020-02-23,15,0,0
2020-03-01,15,0,0
2020-03-08,14,3,0
2020-03-15,32,8,0
2020-03-22,20,4,0
2020-03-29,19,5,0
2020-04-05,25,9,0
2020-04-12,26,9,3
2020-04-19,21,8,0
2020-04-26,18,5,0
2020-05-03,9,5,0
2020-05-10,11,0,0
2020-05-17,9,0,0
2020-05-24,11,4,0
2020-05-31,15,0,0
2020-06-07,10,4,0
2020-06-14,15,0,0
2020-06-21,9,0,0
2020-06-28,6,0,0
2020-07-05,12,0,0
2020-07-12,9,0,0
2020-07-19,11,0,0
2020-07-26,7,0,0
