Categoria: Todas as categorias

Semana,dengue: (Rio Grande do Norte),sintomas dengue: (Rio Grande do Norte),tratamento dengue: (Rio Grande do Norte)
2019-03-03,11,0,0
2019-03-10,17,4,0
2019-03-17,23,0,0
2019-03-24,20,0,0
2019-03-31,23,5,0
2019-04-07,29,6,0
2019-04-14,20,0,0
2019-04-21,23,0,0
2019-04-28,28,0,0
2019-05-05,25,0,4
2019-05-12,37,8,0
2019-05-19,30,6,0
2019-05-26,35,6,0
2019-06-02,30,8,0
2019-06-09,30,9,0
2019-06-16,36,7,0
2019-06-23,32,8,0
2019-06-30,29,4,0
2019-07-07,30,6,0
2019-07-14,29,5,0
2019-07-21,28,8,0
2019-07-28,19,0,0
2019-08-04,20,4,0
2019-08-11,20,4,0
2019-08-18,17,4,0
2019-08-25,12,0,0
2019-09-01,6,0,0
2019-09-08,7,5,0
2019-09-15,14,4,0
2019-09-22,12,0,0
2019-09-29,7,0,0
2019-10-06,8,0,0
2019-10-13,9,0,0
2019-10-20,6,0,0
2019-10-27,6,0,0
2019-11-03,4,0,0
2019-11-10,9,0,0
2019-11-17,4,0,0
2019-11-24,7,0,0
2019-12-01,0,0,0
2019-12-08,3,0,0
2019-12-15,5,0,0
2019-12-22,4,0,0
2019-12-29,9,0,0
2020-01-05,4,0,0
2020-01-12,8,4,0
2020-01-19,11,0,0
2020-01-26,8,0,0
2020-02-02,11,0,0
2020-02-09,9,0,0
2020-02-16,14,3,0
2020-02-23,13,5,0
2020-03-01,17,3,0
2020-03-08,21,0,0
2020-03-15,23,5,4
2020-03-22,26,5,0
2020-03-29,13,6,0
2020-04-05,21,4,0
2020-04-12,16,0,0
2020-04-19,13,0,0
2020-04-26,19,6,0
2020-05-03,13,3,0
2020-05-10,22,10,0
2020-05-17,20,10,0
2020-05-24,19,6,0
2020-05-31,15,4,0
2020-06-07,22,7,0
2020-06-14,19,7,0
2020-06-21,19,4,0
2020-06-28,15,7,0
2020-07-05,15,5,0
2020-07-12,15,3,0
2020-07-19,14,0,0
2020-07-26,9,0,0
2020-08-02,11,0,0
2020-08-09,8,4,0
2020-08-16,6,3,0
2020-08-23,6,0,0
2020-08-30,6,0,0
2020-09-06,8,0,0
2020-09-13,5,0,0
2020-09-20,6,0,0
2020-09-27,4,0,0
2020-10-04,4,0,0
2020-10-11,4,0,0
2020-10-18,0,0,0
2020-10-25,4,0,0
2020-11-01,0,0,0
2020-11-08,4,0,0
2020-11-15,3,0,0
2020-11-22,4,0,0
2020-11-29,6,3,0
2020-12-06,5,0,0
2020-12-13,7,0,0
2020-12-20,3,0,0
2020-12-27,4,0,0
2021-01-03,3,0,0
2021-01-10,4,0,0
2021-01-17,0,0,0
2021-01-24,3,0,0
2021-01-31,6,0,0
2021-02-07,7,0,0
2021-02-14,5,0,0
2021-02-21,3,0,0
2021-02-28,5,0,0
2021-03-07,10,0,0
2021-03-14,8,0,0
2021-03-21,7,0,0
2021-03-28,9,3,0
2021-04-04,9,3,0
2021-04-11,7,0,0
2021-04-18,10,3,0
2021-04-25,11,3,0
2021-05-02,8,0,3
2021-05-09,8,0,0
2021-05-16,9,0,0
2021-05-23,15,3,0
2021-05-30,11,5,0
2021-06-06,8,3,0
2021-06-13,11,4,0
2021-06-20,7,0,0
2021-06-27,8,0,0
2021-07-04,7,0,0
2021-07-11,10,3,0
2021-07-18,9,0,0
2021-07-25,7,0,0
2021-08-01,7,0,0
2021-08-08,9,0,0
2021-08-15,5,0,0
2021-08-22,5,0,0
2021-08-29,3,0,0
2021-09-05,6,0,0
2021-09-12,9,3,0
2021-09-19,4,0,0
2021-09-26,10,0,0
2021-10-03,5,0,3
2021-10-10,4,0,0
2021-10-17,8,0,0
2021-10-24,3,0,0
2021-10-31,0,0,0
2021-11-07,5,0,0
2021-11-14,5,0,0
2021-11-21,4,0,0
2021-11-28,7,0,0
2021-12-05,6,0,0
2021-12-12,6,0,0
2021-12-19,0,0,0
2021-12-26,4,0,0
2022-01-02,8,9,0
2022-01-09,7,0,0
2022-01-16,7,3,0
2022-01-23,8,4,0
2022-01-30,7,0,0
2022-02-06,7,0,0
2022-02-13,6,0,0
2022-02-20,10,0,0
2022-02-27,7,0,0
2022-03-06,12,0,0
2022-03-13,14,3,0
2022-03-20,20,6,0
2022-03-27,27,8,0
2022-04-03,34,9,0
2022-04-10,43,14,0
2022-04-17,64,22,2
2022-04-24,87,26,0
2022-05-01,79,22,4
2022-05-08,81,29,0
2022-05-15,100,32,0
2022-05-22,93,30,0
2022-05-29,96,28,0
2022-06-05,89,26,0
2022-06-12,85,30,0
2022-06-19,71,20,0
2022-06-26,66,20,0
2022-07-03,53,17,0
2022-07-10,47,14,0
2022-07-17,48,12,0
2022-07-24,44,12,2
2022-07-31,31,9,0
2022-08-07,25,8,0
2022-08-14,28,8,0
2022-08-21,19,4,0
2022-08-28,19,4,0
2022-09-04,14,5,0
2022-09-11,10,0,0
2022-09-18,12,5,0
2022-09-25,8,2,0
2022-10-02,8,0,0
2022-10-09,11,0,0
2022-10-16,7,3,0
2022-10-23,6,4,0
2022-10-30,6,2,0
2022-11-06,6,2,0
2022-11-13,7,3,0
2022-11-20,9,0,0
2022-11-27,4,3,0
2022-12-04,9,0,0
2022-12-11,7,0,0
2022-12-18,3,0,0
2022-12-25,6,0,0
2023-01-01,4,0,0
2023-01-08,4,3,0
2023-01-15,6,0,0
2023-01-22,4,0,0
2023-01-29,7,0,0
2023-02-05,5,0,0
2023-02-12,7,5,0
2023-02-19,6,4,0
2023-02-26,11,0,0
2023-03-05,10,0,0
2023-03-12,11,2,0
2023-03-19,13,4,0
2023-03-26,22,4,0
2023-04-02,17,5,0
2023-04-09,19,5,0
2023-04-16,25,9,0
2023-04-23,19,4,0
