Categoria: Todas as categorias

Semana,dengue: (Alagoas),sintomas dengue: (Alagoas)
2019-06-16,28,9
2019-06-23,39,12
2019-06-30,25,8
2019-07-07,28,8
2019-07-14,35,11
2019-07-21,33,6
2019-07-28,32,6
2019-08-04,27,0
2019-08-11,27,5
2019-08-18,24,0
2019-08-25,25,0
2019-09-01,26,8
2019-09-08,18,0
2019-09-15,16,0
2019-09-22,12,0
2019-09-29,11,0
2019-10-06,8,0
2019-10-13,11,0
2019-10-20,8,0
2019-10-27,10,7
2019-11-03,8,0
2019-11-10,7,0
2019-11-17,6,5
2019-11-24,9,0
2019-12-01,0,0
2019-12-08,8,0
2019-12-15,0,0
2019-12-22,0,0
2019-12-29,0,0
2020-01-05,0,0
2020-01-12,6,0
2020-01-19,0,0
2020-01-26,7,0
2020-02-02,8,0
2020-02-09,9,0
2020-02-16,16,0
2020-02-23,9,0
2020-03-01,9,0
2020-03-08,10,0
2020-03-15,19,0
2020-03-22,13,0
2020-03-29,16,0
2020-04-05,15,0
2020-04-12,18,0
2020-04-19,14,0
2020-04-26,22,5
2020-05-03,21,6
2020-05-10,25,8
2020-05-17,21,7
2020-05-24,24,8
2020-05-31,27,7
2020-06-07,19,0
2020-06-14,16,0
2020-06-21,13,0
2020-06-28,10,0
2020-07-05,15,0
2020-07-12,11,0
2020-07-19,12,0
2020-07-26,9,0
2020-08-02,11,0
2020-08-09,8,0
2020-08-16,7,0
2020-08-23,6,0
2020-08-30,8,0
2020-09-06,6,0
2020-09-13,5,0
2020-09-20,4,0
2020-09-27,5,0
2020-10-04,5,0
2020-10-11,5,0
2020-10-18,0,0
2020-10-25,0,0
2020-11-01,7,0
2020-11-08,5,0
2020-11-15,0,0
2020-11-22,7,0
2020-11-29,8,0
2020-12-06,5,0
2020-12-13,0,0
2020-12-20,0,5
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,5,0
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,0,5
2021-02-21,0,0
2021-02-28,6,0
2021-03-07,6,0
2021-03-14,8,0
2021-03-21,6,0
