Categoria: Todas as categorias

Semana,dengue: (Piauí),sintomas dengue: (Piauí),tratamento dengue: (Piauí)
2019-04-14,15,0,0
2019-04-21,18,4,0
2019-04-28,19,4,0
2019-05-05,9,0,0
2019-05-12,14,4,0
2019-05-19,17,4,0
2019-05-26,13,0,0
2019-06-02,13,0,3
2019-06-09,17,8,0
2019-06-16,9,0,0
2019-06-23,13,0,0
2019-06-30,9,0,0
2019-07-07,5,0,0
2019-07-14,0,0,0
2019-07-21,6,0,0
2019-07-28,0,0,0
2019-08-04,6,0,0
2019-08-11,0,0,0
2019-08-18,3,0,0
2019-08-25,0,0,0
2019-09-01,4,0,0
2019-09-08,0,0,0
2019-09-15,5,0,0
2019-09-22,0,0,0
2019-09-29,0,0,0
2019-10-06,0,0,0
2019-10-13,0,0,0
2019-10-20,6,0,0
2019-10-27,0,0,0
2019-11-03,4,0,0
2019-11-10,6,0,0
2019-11-17,5,0,0
2019-11-24,0,0,0
2019-12-01,0,0,0
2019-12-08,0,0,0
2019-12-15,0,0,0
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,4,0,0
2020-01-19,4,0,0
2020-01-26,5,0,0
2020-02-02,5,0,0
2020-02-09,7,0,0
2020-02-16,8,0,0
2020-02-23,8,0,0
2020-03-01,9,0,0
2020-03-08,12,0,0
2020-03-15,14,4,0
2020-03-22,14,3,0
2020-03-29,9,0,0
2020-04-05,9,0,0
2020-04-12,6,0,0
2020-04-19,8,0,0
2020-04-26,9,0,0
2020-05-03,11,3,0
2020-05-10,9,0,0
2020-05-17,8,0,0
2020-05-24,9,0,0
2020-05-31,10,4,0
2020-06-07,8,0,0
2020-06-14,6,4,0
2020-06-21,10,3,0
2020-06-28,5,3,0
2020-07-05,6,0,0
2020-07-12,5,0,0
2020-07-19,4,0,0
2020-07-26,3,0,0
2020-08-02,4,0,0
2020-08-09,3,0,0
2020-08-16,3,0,0
2020-08-23,3,0,0
2020-08-30,3,0,0
2020-09-06,0,0,0
2020-09-13,3,0,0
2020-09-20,0,0,0
2020-09-27,0,0,0
2020-10-04,0,0,0
2020-10-11,3,0,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,0,0,0
2020-11-08,3,0,0
2020-11-15,3,0,0
2020-11-22,3,0,0
2020-11-29,0,0,0
2020-12-06,5,0,0
2020-12-13,0,0,0
2020-12-20,3,0,0
2020-12-27,0,0,0
2021-01-03,0,0,0
2021-01-10,0,0,0
2021-01-17,5,0,0
2021-01-24,3,0,0
2021-01-31,4,0,0
2021-02-07,4,0,0
2021-02-14,3,0,0
2021-02-21,0,0,0
2021-02-28,4,0,0
2021-03-07,7,0,0
2021-03-14,5,0,0
2021-03-21,6,0,0
2021-03-28,6,0,0
2021-04-04,9,3,0
2021-04-11,6,0,0
2021-04-18,7,0,0
2021-04-25,8,0,0
2021-05-02,7,3,0
2021-05-09,8,0,0
2021-05-16,10,0,0
2021-05-23,8,0,0
2021-05-30,7,4,0
2021-06-06,10,4,0
2021-06-13,11,3,0
2021-06-20,10,3,0
2021-06-27,6,0,0
2021-07-04,7,0,0
