Categoria: Todas as categorias

Semana,dengue: (Paraíba),sintomas dengue: (Paraíba),tratamento dengue: (Paraíba)
2019-04-14,17,0,0
2019-04-21,20,5,0
2019-04-28,22,8,0
2019-05-05,18,0,0
2019-05-12,29,7,0
2019-05-19,27,6,0
2019-05-26,25,4,0
2019-06-02,21,8,0
2019-06-09,22,0,0
2019-06-16,15,5,0
2019-06-23,14,0,0
2019-06-30,16,5,0
2019-07-07,14,0,0
2019-07-14,18,0,0
2019-07-21,14,0,0
2019-07-28,17,5,0
2019-08-04,15,0,0
2019-08-11,13,5,0
2019-08-18,14,0,0
2019-08-25,13,0,0
2019-09-01,10,5,0
2019-09-08,13,0,0
2019-09-15,11,0,0
2019-09-22,10,0,0
2019-09-29,9,0,0
2019-10-06,5,0,0
2019-10-13,7,0,0
2019-10-20,8,0,0
2019-10-27,7,0,0
2019-11-03,9,0,0
2019-11-10,7,0,0
2019-11-17,7,0,0
2019-11-24,6,0,0
2019-12-01,6,0,0
2019-12-08,0,0,0
2019-12-15,0,0,0
2019-12-22,6,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,5,0,0
2020-01-19,6,0,0
2020-01-26,6,0,0
2020-02-02,8,0,0
2020-02-09,11,0,0
2020-02-16,7,0,0
2020-02-23,12,0,0
2020-03-01,15,4,0
2020-03-08,12,0,0
2020-03-15,24,0,0
2020-03-22,18,3,0
2020-03-29,12,0,0
2020-04-05,11,3,0
2020-04-12,13,0,0
2020-04-19,15,4,0
2020-04-26,17,5,0
2020-05-03,14,4,0
2020-05-10,24,9,0
2020-05-17,24,8,0
2020-05-24,26,9,0
2020-05-31,24,6,0
2020-06-07,25,7,0
2020-06-14,21,7,0
2020-06-21,23,5,0
2020-06-28,27,9,0
2020-07-05,23,5,0
2020-07-12,22,7,0
2020-07-19,21,8,0
2020-07-26,15,5,0
2020-08-02,16,4,0
2020-08-09,8,0,0
2020-08-16,13,3,0
2020-08-23,10,0,0
2020-08-30,6,0,0
2020-09-06,8,0,0
2020-09-13,6,0,0
2020-09-20,7,0,0
2020-09-27,9,4,0
2020-10-04,8,0,0
2020-10-11,6,0,0
2020-10-18,8,0,0
2020-10-25,8,0,0
2020-11-01,5,0,0
2020-11-08,9,0,0
2020-11-15,7,0,0
2020-11-22,6,0,0
2020-11-29,7,0,0
2020-12-06,6,0,0
2020-12-13,8,0,0
2020-12-20,0,0,0
2020-12-27,4,0,0
2021-01-03,5,0,0
2021-01-10,3,0,0
2021-01-17,0,0,0
2021-01-24,0,0,0
2021-01-31,5,0,0
2021-02-07,5,0,0
2021-02-14,4,0,0
2021-02-21,6,0,0
2021-02-28,6,0,0
2021-03-07,9,4,0
2021-03-14,8,0,0
2021-03-21,9,0,0
2021-03-28,10,0,0
2021-04-04,7,0,0
2021-04-11,11,0,0
2021-04-18,10,0,0
2021-04-25,13,3,0
2021-05-02,13,0,0
2021-05-09,20,6,0
2021-05-16,21,5,0
2021-05-23,20,7,0
2021-05-30,18,6,0
2021-06-06,19,3,0
2021-06-13,18,5,0
2021-06-20,19,5,0
2021-06-27,17,7,0
2021-07-04,18,3,0
2021-07-11,24,6,0
2021-07-18,21,5,0
2021-07-25,18,5,0
2021-08-01,13,0,0
2021-08-08,14,4,0
2021-08-15,16,5,0
2021-08-22,13,5,0
2021-08-29,12,0,0
2021-09-05,10,4,0
2021-09-12,10,0,0
2021-09-19,9,4,0
2021-09-26,8,0,0
2021-10-03,8,0,0
2021-10-10,13,0,0
2021-10-17,8,0,0
2021-10-24,7,0,0
2021-10-31,5,0,0
2021-11-07,7,0,0
2021-11-14,8,0,0
2021-11-21,8,0,0
2021-11-28,8,0,0
2021-12-05,7,0,0
2021-12-12,9,0,0
2021-12-19,7,0,0
2021-12-26,8,0,0
2022-01-02,7,0,0
2022-01-09,8,0,0
2022-01-16,8,0,0
2022-01-23,10,4,0
2022-01-30,7,4,0
2022-02-06,9,3,0
2022-02-13,12,3,0
2022-02-20,10,4,0
2022-02-27,11,4,0
2022-03-06,11,3,0
2022-03-13,17,3,0
2022-03-20,19,4,0
2022-03-27,21,6,0
2022-04-03,34,10,0
2022-04-10,33,9,0
2022-04-17,42,11,0
2022-04-24,53,14,0
2022-05-01,46,13,0
2022-05-08,65,18,0
2022-05-15,80,24,4
2022-05-22,71,18,0
2022-05-29,58,15,0
2022-06-05,70,18,0
2022-06-12,70,19,0
2022-06-19,63,19,0
2022-06-26,53,17,0
2022-07-03,49,17,0
2022-07-10,47,15,0
2022-07-17,40,9,0
2022-07-24,33,9,0
2022-07-31,30,8,0
2022-08-07,25,6,0
2022-08-14,22,4,0
2022-08-21,14,4,0
2022-08-28,14,4,0
2022-09-04,11,3,0
2022-09-11,12,3,0
2022-09-18,8,0,0
2022-09-25,7,0,0
2022-10-02,7,0,0
2022-10-09,7,0,0
2022-10-16,7,0,0
2022-10-23,6,0,0
2022-10-30,6,0,0
2022-11-06,8,0,0
2022-11-13,7,3,0
2022-11-20,7,0,0
2022-11-27,3,0,0
2022-12-04,5,0,0
2022-12-11,6,0,0
2022-12-18,7,0,0
2022-12-25,6,0,0
2023-01-01,6,0,0
2023-01-08,4,0,0
2023-01-15,6,0,0
2023-01-22,7,0,0
2023-01-29,5,0,0
2023-02-05,6,0,0
2023-02-12,7,0,0
2023-02-19,6,0,0
2023-02-26,7,0,0
2023-03-05,10,0,0
2023-03-12,11,3,0
2023-03-19,12,4,0
2023-03-26,15,0,0
2023-04-02,18,6,0
2023-04-09,19,6,0
2023-04-16,15,3,0
2023-04-23,17,5,0
2023-04-30,14,3,0
2023-05-07,16,6,0
2023-05-14,15,4,0
2023-05-21,12,0,0
2023-05-28,7,0,0
2023-06-04,13,4,0
2023-06-11,8,0,0
2023-06-18,10,3,0
2023-06-25,6,0,0
2023-07-02,9,0,0
2023-07-09,10,3,0
2023-07-16,7,0,0
2023-07-23,7,0,0
2023-07-30,4,0,0
2023-08-06,4,0,0
2023-08-13,8,0,0
2023-08-20,5,0,0
2023-08-27,6,0,0
2023-09-03,5,0,0
2023-09-10,5,0,0
2023-09-17,6,0,0
2023-09-24,7,0,0
2023-10-01,5,0,0
2023-10-08,4,0,0
2023-10-15,4,0,0
2023-10-22,6,0,0
2023-10-29,4,0,0
2023-11-05,7,0,0
2023-11-12,5,0,0
2023-11-19,6,0,0
2023-11-26,6,0,0
2023-12-03,7,0,0
2023-12-10,5,0,0
2023-12-17,6,0,0
2023-12-24,7,0,0
2023-12-31,7,0,0
2024-01-07,5,0,0
2024-01-14,6,3,0
2024-01-21,14,4,0
2024-01-28,16,4,0
2024-02-04,26,4,0
2024-02-11,53,15,0
2024-02-18,93,18,0
2024-02-25,98,19,0
2024-03-03,100,22,0
2024-03-10,86,17,0
2024-03-17,80,18,0
2024-03-24,49,10,0
2024-03-31,59,11,1
2024-04-07,58,12,1
2024-04-14,44,11,0
